row_id,reviewed_label,reviewed_rationale
1,Actionable,"Current ETF product packaging explicitly incorporates AI/ML into the fund structure."
4,Speculative,"R&D and continued investment in AI solutions does not disclose a current deployed capability."
7,Irrelevant,"This is an investment or exposure reference rather than a capability claim by the reporting firm."
8,Actionable,"The sentence implies current machine learning models already support customer capture and segmentation, even though further enhancement is ongoing."
9,Actionable,"This describes a current ML-based operational process for analyzing energy consumption and identifying savings."
11,Irrelevant,"The sentence is about entering AI-related industries, not about the firm currently using or offering AI capabilities."
13,Speculative,"Customer expectations about using generative AI are future-facing and do not assert current deployment."
16,Speculative,"The sentence says methodologies may evolve through machine learning, which is future-oriented rather than a clear current AI-use claim."
17,Speculative,"Expected future investment requirements for AI initiatives are not current capability disclosures."
18,Irrelevant,"This is a risk statement about potential generative AI reliance, not an independent present-use disclosure."
21,Speculative,"AI appears as part of a digitization priority and operational goal, not as a clean current capability claim."
22,Speculative,"The sentence describes continued investment in AI and machine learning as part of future-facing expansion and implementation."
23,Irrelevant,"This is a competition statement and does not independently disclose a present AI capability by the firm."
27,Irrelevant,"AI appears in a competition context rather than as a direct current-use disclosure."
29,Speculative,"The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim."
30,Speculative,"The sentence is forward-looking competition language tied to continued progress on named capabilities rather than a clean current-use claim."
32,Actionable,"The firm currently relies on machine learning models in a live measurement process."
33,Actionable,"The firm currently relies on machine learning models in a live measurement process."
