sentence,true_label,predicted_label,match,scores
Such leakage or unauthorized exposure of data related to our use of AI applications could result in legal claims or liability or otherwise adversely affect our reputation and results of operations.,Speculative,Speculative,True,"{'Actionable': 0.578786370754242, 'Irrelevant': 0.7114418148994446, 'Speculative': 0.8748577976226807, 'fine_margin': 0.296}"
"We may not always be able to anticipate how courts and regulators will apply existing laws to AI, predict how new legal frameworks will develop to address AI, or otherwise respond to these frameworks as they are still rapidly evolving.",Speculative,Speculative,True,"{'Actionable': 0.6078371381759644, 'Irrelevant': 0.7272555828094482, 'Speculative': 0.9361082935333253, 'fine_margin': 0.328}"
"we adopt terms, policies, or procedures related to areas such as sharing, content, user data, or advertising, or we take, or fail to take, actions to enforce our policies, that are perceived negatively by our users or the general public, including as a result of decisions or recommendations from the independent Oversight Board regarding content on our platform;",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"For example, we rely on a limited group of suppliers for semiconductor products, including products related to artificial intelligence infrastructure such as graphics processing units.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"Our calculations of DAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",Speculative,Speculative,True,"{'Actionable': 0.5225182151794434, 'Irrelevant': 0.4934225082397461, 'Speculative': 0.8104309368133545, 'fine_margin': 0.288}"
"These efforts include significant investments in AI initiatives, including to recommend relevant content across our products, enhance our advertising tools, develop new products, and develop new features for existing products using generative AI.",Actionable,Actionable,True,"{'Actionable': 0.8573705530166627, 'Irrelevant': 0.7005969882011414, 'Speculative': 0.6362504959106445, 'fine_margin': 0.221}"
We are also applying our artificial intelligence learnings from self-driving technology to the field of robotics.,Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"The use of AI applications may result in data leakage or unauthorized exposure of data, including confidential business information, the personal data of end users, or other sensitive information.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"Additionally, we are increasingly focused on products and services based on artificial intelligence, robotics and automation.",Speculative,Speculative,True,"{'Actionable': 0.0, 'Speculative': 1.0, 'Irrelevant': 0.0, 'fine_margin': None}"
"We incur significant expenses in operating our business, and we expect our expenses to continue to increase in the future as we broaden our user base, as users increase the amount and types of content they consume and the data they share with us, for example with respect to video, as we develop and implement new products, as we market new and existing products and promote our brands, as we continue to expand our technical infrastructure, as we continue to invest in new and unproven technologies, including AI and machine learning, and as we continue our efforts to focus on privacy, safety, security, and content review.",Speculative,Speculative,True,"{'Actionable': 0.7428097105026246, 'Irrelevant': 0.6426293277740478, 'Speculative': 0.8419576120376587, 'fine_margin': 0.099}"
Such leakage or unauthorized exposure of data related to our use of AI applications could result in legal claims or liability or otherwise adversely affect our reputation and results of operations.,Speculative,Speculative,True,"{'Actionable': 0.578786370754242, 'Irrelevant': 0.7114418148994446, 'Speculative': 0.8748577976226807, 'fine_margin': 0.296}"
"We have experienced, and may also experience similar future delays in launching and/or ramping production of our energy storage products and Solar Roof; new product versions or variants; new vehicles; and future features and services based on artificial intelligence.",Irrelevant,Speculative,False,"{'Actionable': 0.0, 'Speculative': 1.0, 'Irrelevant': 0.0, 'fine_margin': None}"
"AI also presents emerging ethical and regulatory issues and if our use of AI becomes controversial, we may experience brand or reputational harm, competitive harm, or legal liability.",Speculative,Speculative,True,"{'Actionable': 0.5739843225479127, 'Irrelevant': 0.7227045297622681, 'Speculative': 0.8946108961105347, 'fine_margin': 0.321}"
"global operations are subject to complex and changing laws and regulations on subjects, including antitrust; privacy, data security and data localization; consumer protection; advertising, sales, billing and e-commerce; financial services and technology; product liability; intellectual property ownership and infringement; digital platforms; machine learning and artificial intelligence; internet, telecommunications and mobile communications; media, television, film and digital content; availability of third-party software applications and services; labor and employment; anticorruption; import, export and trade; foreign exchange controls and cash repatriation restrictions; anti money laundering; foreign ownership and investment; tax; and environmental, health and safety, including electronic waste, recycling, product design and climate change.",Speculative,Speculative,True,"{'Actionable': 0.0, 'Speculative': 1.0, 'Irrelevant': 0.0, 'fine_margin': None}"
"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",Speculative,Actionable,False,"{'Actionable': 0.7858332967758179, 'Irrelevant': 0.6190258860588074, 'Speculative': 0.6717482662200929, 'fine_margin': 0.114}"
"there is decreased engagement with our products as a result of taxes imposed on the use of social media or other mobile applications in certain countries, internet shutdowns, or other actions by governments that affect the accessibility of our products in their countries (for example, beginning in the first quarter of 2022, our user growth and engagement were adversely affected by the war in Ukraine and service restrictions imposed by the Russian government);",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"We are subject to general business regulations and laws, as well as regulations and laws specifically governing the Internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
"In December 2022, we reevaluated our data center investment strategy to improve efficiency and further advance our efforts around artificial intelligence.",Irrelevant,Irrelevant,True,"{'Actionable': 0.0, 'Speculative': 0.0, 'Irrelevant': 1.0, 'fine_margin': None}"
Other companies may develop AI features and technologies that are similar or superior to our technologies or are more cost-effective to develop and deploy.,Actionable,Actionable,True,"{'Actionable': 0.861982479095459, 'Irrelevant': 0.6885273456573486, 'Speculative': 0.7561902379989625, 'fine_margin': 0.106}"
"We will also continue to generate demand and brand awareness by improving our vehicles performance and functionality, including through products based on artificial intelligence such as Autopilot and FSD, and other software features, and delivering new vehicles, such as the Tesla Semi in December 2022.",Actionable,Actionable,True,"{'Actionable': 0.80943345785141, 'Irrelevant': 0.5763445496559143, 'Speculative': 0.5945813810825349, 'fine_margin': 0.215}"
