cik,name,alias
0000001750,AAR CORP,
0000001750,AAR CORP,ALLEN AIRCRAFT RADIO INC
0000001800,ABBOTT LABORATORIES,
0000001961,WORLDS INC,
0000001961,WORLDS INC,WORLDS COM INC
0000001961,WORLDS INC,WORLDS INC
0000001961,WORLDS INC,"Worlds.com, Inc."
0000002098,ACME UNITED CORP,
0000002098,ACME UNITED CORP,ACME SHEAR CO
0000002178,,
0000002186,BK Technologies Corp,
0000002186,BK Technologies Corp,ADAGE INC
0000002186,BK Technologies Corp,"BK Technologies, Inc."
0000002186,BK Technologies Corp,RELM WIRELESS CORP
0000002488,ADVANCED MICRO DEVICES INC,
0000002969,"Air Products & Chemicals, Inc.",
0000002969,"Air Products & Chemicals, Inc.",AIR PRODUCTS & CHEMICALS INC /DE/
0000002969,"Air Products & Chemicals, Inc.","AIR PRODUCTS & CHEMICALS, INC."
0000003146,SPIRE ALABAMA INC,
0000003146,SPIRE ALABAMA INC,ALABAMA GAS CORP
0000003153,ALABAMA POWER CO,
0000003197,CECO ENVIRONMENTAL CORP,
0000003197,CECO ENVIRONMENTAL CORP,ALARM PRODUCTS INTERNATIONAL INC
0000003197,CECO ENVIRONMENTAL CORP,API ENTERPRISES INC
0000003453,"Matson, Inc.",
0000003453,"Matson, Inc.",ALEXANDER & BALDWIN INC
0000003499,ALEXANDERS INC,
0000003545,"ALICO, INC.",
0000003545,"ALICO, INC.",ALICO INC
0000003545,"ALICO, INC.",ALICO LAND DEVELOPMENT CO
0000003570,"Cheniere Energy, Inc.",
0000003570,"Cheniere Energy, Inc.",ALL AMERICAN GROUP OF DELAWARE INC
0000003570,"Cheniere Energy, Inc.",BEXY COMMUNICATIONS INC
0000003570,"Cheniere Energy, Inc.",CHENIERE ENERGY INC
0000004127,"SKYWORKS SOLUTIONS, INC.",
0000004127,"SKYWORKS SOLUTIONS, INC.",ALPHA INDUSTRIES INC
0000004127,"SKYWORKS SOLUTIONS, INC.",SKYWORKS SOLUTIONS INC
0000004281,Howmet Aerospace Inc.,
0000004281,Howmet Aerospace Inc.,ALCOA INC
0000004281,Howmet Aerospace Inc.,ALCOA INC.
0000004281,Howmet Aerospace Inc.,Arconic Inc.
0000004447,HESS CORP,
0000004447,HESS CORP,AMERADA HESS CORP
0000004447,HESS CORP,AMERADA PETROLEUM CORP
0000004457,U-Haul Holding Co /NV/,
0000004457,U-Haul Holding Co /NV/,AMERCO
0000004457,U-Haul Holding Co /NV/,AMERCO /NV/
0000004515,"AMERICAN AIRLINES, INC.",
0000004515,"AMERICAN AIRLINES, INC.",AMERICAN AIRLINES INC
0000004515,"AMERICAN AIRLINES, INC.",AMERICAN AIRWAYS INC
0000004904,AMERICAN ELECTRIC POWER CO INC,
0000004904,AMERICAN ELECTRIC POWER CO INC,KINGSPORT UTILITIES INC
0000004962,AMERICAN EXPRESS CO,
0000004977,AFLAC INC,
0000004977,AFLAC INC,AMERICAN FAMILY CORP
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL ENTERPRISES INC
0000005272,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL GROUP INC
0000005513,Unum Group,
0000005513,Unum Group,PROVIDENT COMPANIES INC /DE/
0000005513,Unum Group,PROVIDENT LIFE & ACCIDENT INSURANCE CO OF AMERICA
0000005513,Unum Group,UNUMPROVIDENT CORP
0000005981,AMERICAN VANGUARD CORP,
0000005981,AMERICAN VANGUARD CORP,AEROCON INC
0000006176,AMPCO PITTSBURGH CORP,
0000006176,AMPCO PITTSBURGH CORP,SCREW & BOLT CORP OF AMERICA
0000006201,American Airlines Group Inc.,
0000006201,American Airlines Group Inc.,AMR CORP
0000006207,AMREP CORP.,
0000006207,AMREP CORP.,AMERICAN REALTY & PETROLEUM CORP
0000006207,AMREP CORP.,AMREP CORP
0000006281,ANALOG DEVICES INC,
0000006769,,
0000006845,"APOGEE ENTERPRISES, INC.",
0000006845,"APOGEE ENTERPRISES, INC.",APOGEE ENTERPRISES INC
0000006845,"APOGEE ENTERPRISES, INC.",HARMON GLASS CO INC
0000006879,APPALACHIAN POWER CO,
0000006951,APPLIED MATERIALS INC /DE,
0000006951,APPLIED MATERIALS INC /DE,APPLIED MATERIALS TECHNOLOGY INC
0000006955,ENERPAC TOOL GROUP CORP,
0000006955,ENERPAC TOOL GROUP CORP,ACTUANT CORP
0000006955,ENERPAC TOOL GROUP CORP,APPLIED POWER INC
0000006955,ENERPAC TOOL GROUP CORP,APPLIED POWER INDUSTRIES INC
0000007084,Archer-Daniels-Midland Co,
0000007084,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND CO
0000007286,ARIZONA PUBLIC SERVICE CO,
0000007323,"ENTERGY ARKANSAS, LLC",
0000007323,"ENTERGY ARKANSAS, LLC",ARKANSAS POWER & LIGHT CO
0000007323,"ENTERGY ARKANSAS, LLC",ENTERGY ARKANSAS INC
0000007332,,
0000007431,ARMSTRONG WORLD INDUSTRIES INC,
0000007431,ARMSTRONG WORLD INDUSTRIES INC,ARMSTRONG CORK CO
0000007536,"ARROW ELECTRONICS, INC.",
0000007536,"ARROW ELECTRONICS, INC.",ARROW ELECTRONICS INC
0000007536,"ARROW ELECTRONICS, INC.","ARROW ELECTRONICS, INC"
0000007623,ARTS WAY MANUFACTURING CO INC,
0000007789,ASSOCIATED BANC-CORP,
0000007789,ASSOCIATED BANC-CORP,ASSOCIATED BANK SERVICES INC
0000008063,ASTRONICS CORP,
0000008063,ASTRONICS CORP,ASTRONICS LUMINESCENT INC
0000008146,"AstroNova, Inc.",
0000008146,"AstroNova, Inc.",ASTRO MED INC /NEW/
0000008146,"AstroNova, Inc.",ATLAN TOL INDUSTRIES INC
0000008177,ATLANTIC AMERICAN CORP,
0000008192,ATLANTIC CITY ELECTRIC CO,
0000008504,AgEagle Aerial Systems Inc.,
0000008504,AgEagle Aerial Systems Inc.,AURORA CORP
0000008504,AgEagle Aerial Systems Inc.,"EnerJex Resources, Inc."
0000008504,AgEagle Aerial Systems Inc.,MILLENNIUM PLASTICS CORP
0000008670,AUTOMATIC DATA PROCESSING INC,
0000008818,Avery Dennison Corp,
0000008818,Avery Dennison Corp,AVERY DENNISON CORPORATION
0000008818,Avery Dennison Corp,AVERY INTERNATIONAL CORP
0000008818,Avery Dennison Corp,AVERY PRODUCTS CORP
0000008858,AVNET INC,
0000008947,AZZ INC,
0000008947,AZZ INC,AZTEC MANUFACTURING CO
0000009092,BADGER METER INC,
0000009092,BADGER METER INC,BADGER METER MANUFACTURING CO
0000009326,BALCHEM CORP,
0000009389,BALL Corp,
0000009389,BALL Corp,BALL BROTHERS CO
0000009389,BALL Corp,BALL CORP
0000009466,BALTIMORE GAS & ELECTRIC CO,
0000009984,,
0000010048,BARNWELL INDUSTRIES INC,
0000010048,BARNWELL INDUSTRIES INC,BARNWELL OFFSHORE INC
0000010048,BARNWELL INDUSTRIES INC,BMA CORP/TN
0000010329,BASSETT FURNITURE INDUSTRIES INC,
0000010456,BAXTER INTERNATIONAL INC,
0000010456,BAXTER INTERNATIONAL INC,BAXTER LABORATORIES INC
0000010456,BAXTER INTERNATIONAL INC,BAXTER TRAVENOL LABORATORIES INC
0000010795,BECTON DICKINSON & CO,
0000011544,BERKLEY W R CORP,
0000012040,FLANIGANS ENTERPRISES INC,
0000012040,FLANIGANS ENTERPRISES INC,BIG DADDYS LOUNGES INC
0000012040,FLANIGANS ENTERPRISES INC,CASTLEWOOD INTERNATIONAL CORP
0000012040,FLANIGANS ENTERPRISES INC,MOSAM CORP
0000012208,"BIO-RAD LABORATORIES, INC.",
0000012208,"BIO-RAD LABORATORIES, INC.",BIO RAD LABORATORIES INC
0000012239,Dominari Holdings Inc.,
0000012239,Dominari Holdings Inc.,AIkido Pharma Inc.
0000012239,Dominari Holdings Inc.,Aikido Pharma Inc.
0000012239,Dominari Holdings Inc.,SPHERIX INC
0000012659,H&R BLOCK INC,
0000012927,BOEING CO,
0000012927,BOEING CO,BOEING AIRPLANE CO
0000013156,"Galaxy Gaming, Inc.",
0000013156,"Galaxy Gaming, Inc.",BOOK CORP OF AMERICA
0000013156,"Galaxy Gaming, Inc.",SECURED DIVERSIFIED INVESTMENT LTD
0000013372,NSTAR ELECTRIC CO,
0000013372,NSTAR ELECTRIC CO,BOSTON EDISON CO
0000014177,BRIDGFORD FOODS CORP,
0000014177,BRIDGFORD FOODS CORP,BRIDGFORD PACKING CO
0000014272,BRISTOL MYERS SQUIBB CO,
0000014272,BRISTOL MYERS SQUIBB CO,BRISTOL MYERS CO
0000014693,BROWN FORMAN CORP,
0000014693,BROWN FORMAN CORP,BROWN FORMAN DISTILLERS CORP
0000014693,BROWN FORMAN CORP,BROWN FORMAN DISTILLERY CO
0000014693,BROWN FORMAN CORP,BROWN FORMAN INC
0000014707,CALERES INC,
0000014707,CALERES INC,BROWN GROUP INC
0000014707,CALERES INC,BROWN SHOE CO INC
0000014707,CALERES INC,BROWN SHOE CO INC/
0000014846,BRT Apartments Corp.,
0000014846,BRT Apartments Corp.,BRT REALTY TRUST
0000014846,BRT Apartments Corp.,BRT Realty Trust
0000014846,BRT Apartments Corp.,Gould Investors LP
0000014930,BRUNSWICK CORP,
0000014930,BRUNSWICK CORP,BRUNSWICK BALKE COLLENDER CO
0000015357,CHASE GENERAL CORP,
0000015357,CHASE GENERAL CORP,CHASE CANDY CO
0000015615,MASTEC INC,
0000015615,MASTEC INC,BURNUP & SIMS INC
0000015847,BUTLER NATIONAL CORP,
0000015847,BUTLER NATIONAL CORP,NATIONAL CONNECTOR CORP
0000016040,CABOT CORP,
0000016040,CABOT CORP,CABOT GODFREY L INC
0000016058,CACI INTERNATIONAL INC /DE/,
0000016058,CACI INTERNATIONAL INC /DE/,CACI INC /DE/
0000016058,CACI INTERNATIONAL INC /DE/,CALIFORNIA ANALYSIS CENTER INC
0000016058,CACI INTERNATIONAL INC /DE/,CONSOLIDATED ANALYSIS CENTERS INC
0000016160,CAL-MAINE FOODS INC,
0000016160,CAL-MAINE FOODS INC,CAL MAINE FOODS INC
0000016160,CAL-MAINE FOODS INC,CHICKEN CHEF SYSTEMS INC
0000016732,CAMPBELL'S Co,
0000016732,CAMPBELL'S Co,CAMPBELL SOUP CO
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CANADIAN PACIFIC LTD
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CANADIAN PACIFIC RAILWAY CO
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,CANADIAN PACIFIC RAILWAY LTD/CN
0000016918,"CONSTELLATION BRANDS, INC.",
0000016918,"CONSTELLATION BRANDS, INC.",CANANDAIGUA BRANDS INC
0000016918,"CONSTELLATION BRANDS, INC.",CANANDAIGUA WINE CO INC
0000016918,"CONSTELLATION BRANDS, INC.",CONSTELLATION BRANDS INC
0000017313,CAPITAL SOUTHWEST CORP,
0000017797,"DUKE ENERGY PROGRESS, LLC.",
0000017797,"DUKE ENERGY PROGRESS, LLC.",CAROLINA POWER & LIGHT CO
0000017797,"DUKE ENERGY PROGRESS, LLC.","DUKE ENERGY PROGRESS, INC."
0000017843,CARPENTER TECHNOLOGY CORP,
0000018230,CATERPILLAR INC,
0000018230,CATERPILLAR INC,CATERPILLAR TRACTOR CO
0000018255,CATO CORP,
0000018255,CATO CORP,CATO STORES INC
0000018349,SYNOVUS FINANCIAL CORP,
0000018349,SYNOVUS FINANCIAL CORP,CB&T BANCSHARES INC
0000018498,GENESCO INC,
0000018654,Ameren Illinois Co,
0000018654,Ameren Illinois Co,CENTRAL ILLINOIS PUBLIC SERVICE CO
0000018672,CLECO POWER LLC,
0000018672,CLECO POWER LLC,CENTRAL LOUISIANA ELECTRIC CO INC
0000018672,CLECO POWER LLC,CLECO UTILITY GROUP INC
0000018926,"Lumen Technologies, Inc.",
0000018926,"Lumen Technologies, Inc.",CENTURY TELEPHONE ENTERPRISES INC
0000018926,"Lumen Technologies, Inc.","CENTURYLINK, INC"
0000018926,"Lumen Technologies, Inc.",CENTURYTEL INC
0000019584,CHEMED CORP,
0000019584,CHEMED CORP,CHEMED CORP
0000019584,CHEMED CORP,ROTO-ROOTER INC
0000019617,JPMORGAN CHASE & CO,
0000019617,JPMORGAN CHASE & CO,CHASE MANHATTAN CORP /DE/
0000019617,JPMORGAN CHASE & CO,CHEMICAL BANKING CORP
0000019617,JPMORGAN CHASE & CO,J P MORGAN CHASE & CO
0000019745,CHESAPEAKE UTILITIES CORP,
0000019871,CHICAGO RIVET & MACHINE CO,
0000020212,Churchill Downs Inc,
0000020212,Churchill Downs Inc,CHURCHILL DOWNS INC
0000020212,Churchill Downs Inc,CHURCHILL DOWNS Inc
0000020286,CINCINNATI FINANCIAL CORP,
0000020290,"Duke Energy Ohio, Inc.",
0000020290,"Duke Energy Ohio, Inc.",CINCINNATI GAS & ELECTRIC CO
0000020520,"Frontier Communications Parent, Inc.",
0000020520,"Frontier Communications Parent, Inc.",CITIZENS COMMUNICATIONS CO
0000020520,"Frontier Communications Parent, Inc.",CITIZENS UTILITIES CO
0000020520,"Frontier Communications Parent, Inc.",FRONTIER COMMUNICATIONS CORP
0000020639,AmBase Corp,
0000020639,AmBase Corp,AMBASE CORP
0000020639,AmBase Corp,CITYHOME CORP
0000020639,AmBase Corp,HOME GROUP INC
0000020947,CLEVELAND ELECTRIC ILLUMINATING CO,
0000021076,CLOROX CO /DE/,
0000021175,CNA FINANCIAL CORP,
0000021344,COCA COLA CO,
0000021535,COHU INC,
0000021535,COHU INC,COHU ELECTRONICS INC
0000021665,COLGATE PALMOLIVE CO,
0000022356,COMMERCE BANCSHARES INC /MO/,
0000022444,COMMERCIAL METALS Co,
0000022444,COMMERCIAL METALS Co,COMMERCIAL METALS CO
0000022606,COMMONWEALTH EDISON Co,
0000022606,COMMONWEALTH EDISON Co,COMMONWEALTH EDISON CO
0000022701,"SUNation Energy, Inc.",
0000022701,"SUNation Energy, Inc.",COMMUNICATIONS SYSTEMS INC
0000022701,"SUNation Energy, Inc.",Pineapple Energy Inc.
0000022701,"SUNation Energy, Inc.","Pineapple Holdings, Inc."
0000022767,TEXAS NEW MEXICO POWER CO,
0000022767,TEXAS NEW MEXICO POWER CO,COMMUNITY PUBLIC SERVICE CO
0000023194,COMSTOCK RESOURCES INC,
0000023194,COMSTOCK RESOURCES INC,COMSTOCK TUNNEL & DRAINAGE CO
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,COMTECH INC
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,COMTECH LABORATORIES INC
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,COMTECH TELECOMMUNICATIONS CORP
0000023217,CONAGRA BRANDS INC.,
0000023217,CONAGRA BRANDS INC.,CONAGRA FOODS INC /DE/
0000023217,CONAGRA BRANDS INC.,CONAGRA INC /DE/
0000023217,CONAGRA BRANDS INC.,NEBRASKA CONSOLIDATED MILLS CO
0000023426,CONNECTICUT LIGHT & POWER CO,
0000023632,CONSOLIDATED EDISON CO OF NEW YORK INC,
0000023795,"CTO Realty Growth, Inc.",
0000023795,"CTO Realty Growth, Inc.",CONSOLIDATED TOMOKA LAND CO
0000023795,"CTO Realty Growth, Inc.",CTO Realty Growth Inc.
0000024090,"CITIZENS, INC.",
0000024090,"CITIZENS, INC.",CITIZENS INC
0000024090,"CITIZENS, INC.",CONTINENTAL INVESTORS LIFE INC
0000024545,MOLSON COORS BEVERAGE CO,
0000024545,MOLSON COORS BEVERAGE CO,COORS ADOLPH CO
0000024545,MOLSON COORS BEVERAGE CO,MOLSON COORS BREWING CO
0000024741,CORNING INC /NY,
0000024741,CORNING INC /NY,CORNING GLASS WORKS
0000025232,COUSINS PROPERTIES INC,
0000025445,"Crane NXT, Co.",
0000025445,"Crane NXT, Co.",CRANE CO /DE/
0000025445,"Crane NXT, Co.","Crane Holdings, Co."
0000025475,CRAWFORD & CO,
0000025598,ONEMAIN FINANCE CORP,
0000025598,ONEMAIN FINANCE CORP,AMERICAN GENERAL FINANCE CORP
0000025598,ONEMAIN FINANCE CORP,CREDITHRIFT FINANCIAL CORP
0000025598,ONEMAIN FINANCE CORP,SPRINGLEAF FINANCE CORP
0000025743,"TherapeuticsMD, Inc.",
0000025743,"TherapeuticsMD, Inc.","AMHN, Inc."
0000025743,"TherapeuticsMD, Inc.",CROFF ENTERPRISES INC
0000025743,"TherapeuticsMD, Inc.",CROFF OIL CO
0000025895,CROWN CRAFTS INC,
0000026058,CTS CORP,
0000026172,CUMMINS INC,
0000026172,CUMMINS INC,CUMMINS ENGINE CO INC
0000026324,CURTISS WRIGHT CORP,
0000026780,DANA INC,
0000026780,DANA INC,DANA CORP
0000026780,DANA INC,DANA HOLDING CORP
0000027093,U.S. GOLD CORP.,
0000027093,U.S. GOLD CORP.,DATARAM CORP
0000027419,TARGET CORP,
0000027419,TARGET CORP,DAYTON CORP
0000027419,TARGET CORP,DAYTON HUDSON CORP
0000027430,DAYTON POWER & LIGHT CO,
0000027673,DEERE JOHN CAPITAL CORP,
0000027673,DEERE JOHN CAPITAL CORP,DEERE JOHN CREDIT CO
0000027879,DELMARVA POWER & LIGHT CO /DE/,
0000027904,"DELTA AIR LINES, INC.",
0000027904,"DELTA AIR LINES, INC.",DELTA AIR CORP
0000027904,"DELTA AIR LINES, INC.",DELTA AIR LINES INC /DE/
0000027996,DELUXE CORP,
0000027996,DELUXE CORP,DELUXE CHECK PRINTERS INC
0000028385,DTE Electric Co,
0000028385,DTE Electric Co,DETROIT EDISON CO
0000028412,COMERICA INC /NEW/,
0000028412,COMERICA INC /NEW/,DETROITBANK CORP
0000028823,"DIEBOLD NIXDORF, Inc",
0000028823,"DIEBOLD NIXDORF, Inc",DIEBOLD INC
0000028917,"DILLARD'S, INC.",
0000028917,"DILLARD'S, INC.",DILLARD DEPARTMENT STORES INC
0000028917,"DILLARD'S, INC.",DILLARDS INC
0000029002,DIODES INC /DEL/,
0000029332,DIXIE GROUP INC,
0000029332,DIXIE GROUP INC,DIXIE MERCERIZING CO
0000029332,DIXIE GROUP INC,DIXIE YARNS INC
0000029534,DOLLAR GENERAL CORP,
0000029534,DOLLAR GENERAL CORP,TURNER CAL
0000029534,DOLLAR GENERAL CORP,TURNER J L & SON INC
0000029644,DONALDSON Co INC,
0000029644,DONALDSON Co INC,DONALDSON CO INC
0000029905,DOVER Corp,
0000029905,DOVER Corp,DOVER CORP
0000029915,DOW CHEMICAL CO /DE/,
0000029989,OMNICOM GROUP INC.,
0000029989,OMNICOM GROUP INC.,DOYLE DANE BERNBACH GROUP INC
0000029989,OMNICOM GROUP INC.,DOYLE DANE BERNBACH INTERNATIONAL INC
