family,year,threshold,id,org_raw,matched_term,score,second_score,cik,name,title
grant,2024,0.9,11965174,City of Hope,city,1.0,,726854,CITY HOLDING CO,Adeno-associated virus vector variants for high efficiency genome editing and methods thereof
grant,2024,0.9,D1032689,"NingBo New Beam Digital Electronic Technology CO., LTD",new,1.0,,1593538,NAVIENT CORP,Camcorder
grant,2024,0.9,11922426,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for artificial intelligence controlled prioritization of transactions
grant,2024,0.9,11882275,"INTELLECTUAL DISCOVERY CO., LTD.",discovery,1.0,,1437107,WARNER BROS DISCOVERY INC,Method and device for encoding/decoding image
grant,2024,0.9,12141726,"EMERALD LAKE HILLS, L.L.C.",emerald,1.0,,1579214,EMERALD HOLDING INC,Autonomic discrete business activity management method
grant,2024,0.9,12154269,Zhujiang Hospital of Southern Medical University,southern,1.0,,92122,SOUTHERN CO,Extraction method for radiomics feature information of knee joint effusion
grant,2024,0.9,11983882,ADVANCED VIEW INC.,view,1.0,,1811856,VIEW INC,E13B image interpretation method
grant,2024,0.9,12154556,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,System and method for electronic communication
grant,2024,0.9,12169583,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Aggregating permissions across multiple platforms
grant,2024,0.9,12010108,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Techniques to provide sensitive information over a voice connection
grant,2024,0.9,11860723,"CAPITAL ONE SERVICES, LLC",one,1.0,,1816613,MARKFORGED HOLDING CORP,Systems and methods for parallelizing sequential processing requests using predicted correction data
grant,2024,0.9,12151506,NEW REN YANG ENTERPRISE CORP.,new,1.0,,1593538,NAVIENT CORP,Reciprocal vibration type electric engraving pen
grant,2024,0.9,12097915,New Heights LLC,new,1.0,,1593538,NAVIENT CORP,Hydraulic drive system trailer
grant,2024,0.9,D1010361,"New-Tec Integration (Xiamen) Co., Ltd.",new,1.0,,1593538,NAVIENT CORP,Desk
