batch_id,batch_row_id,sampling_seed,selection_reason,sentence_id,sentence_text_id,sentence,sentence_norm,source_file,source_year,source_quarter,source_form,source_cik,sentence_index,manifest_id,manifest_row_id,source_window_id,token_count,fragment_score,integrity_flags,sic,ff12_code,ff12_name,industry_metadata_source,length_bin,edge_case_flag,filing_selection_reason,original_sentence,original_sentence_index,prior_manual_label,prior_assistive_label,source_section,match_status,match_score,candidate_sentence_index,prelabel_eligible,skip_reason,assistive_label,assistive_confidence,assistive_rationale,assistive_model,assistive_generated_at,assistive_prompt_hash,label,is_uncertain,uncertainty_note,source_input_path,label_source,assistive_present
labeling_batch_v2,90d54f1ebded9d97,20260311,quarter_diversity_fill,934715725061e415,7cb5c14a5309e193,"In addition, the use or adoption of new and emerging technologies may increase our exposure to intellectual property claims, and the availability of copyright and other intellectual property protection for AI-generated material is uncertain.",in addition the use or adoption of new and emerging technologies may increase our exposure to intellectual property claims and the availability of copyright and other intellectual property protection for ai generated material is uncertain,2024/QTR1/20240126_10-K_edgar_data_1065280_0001065280-24-000030.txt,2024,1,10-K,1065280,2,expansion_2024_batch_04,19741dd7754c0dad,active_2021_2024,34,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,item_1_business,,,,,,Irrelevant,high,"Generic risk disclosure about technology and IP uncertainty, not a firm-specific current capability claim.",gpt-5-mini,2026-03-14T02:00:31.939342+00:00,4befc6df31ddaecf628f8bcb4036e89052f6afdb93108c90f317c0ad2a1163a0,Irrelevant,0,,data/labels/v1/labeling_batch_v2_filled.csv,human_verified,True
labeling_batch_v1,ac6c2a94d410ab5d,20260306,quarter_ff12_round_robin,8a565a36583fdb5d,a2c1cff798167124,"Our global strategy is to deliver higher value by focusing on the following strategic priorities: Invest in high-growth technologies such as hybrid cloud, security, data analytics, artificial intelligence (""AI""), hyperscale infrastructure, and services.",our global strategy is to deliver higher value by focusing on the following strategic priorities invest in high growth technologies such as hybrid cloud security data analytics artificial intelligence ai hyperscale infrastructure and services,2024/QTR1/20240126_10-K_edgar_data_1177394_0001177394-24-000014.txt,2024,1,10-K,1177394,1,pilot_2024_10k_v1,17e39b3512306655,active_2021_2024,33,0.0,[],5045.0,9,Shops,controls_by_firm_year,long,False,quarter_ff12_round_robin,"Our global strategy is to deliver higher value by focusing on the following strategic priorities: Invest in high-growth technologies such as hybrid cloud, security, data analytics, artificial intelligence (""AI""), hyperscale infrastructure, and services.",1.0,,,item_1_business,exact,1.0,1.0,True,,Speculative,high,States strategic intention to invest (forward-looking) rather than a present factual claim of current use.,gpt-5-mini,2026-03-13T00:08:01.354719+00:00,81406d82d9b435a78e25c95c4f571a6cdb78d3d26d5a7ffec8f01ab635962bf2,Speculative,0,,data/labels/v1/labeling_batch_v1_filled_v2_4.csv,human_verified,True
labeling_batch_v2,4a93496cd66500fd,20260311,quarter_diversity_fill,378e04590eef68e1,87819842ff46b314,"In light of the recent proliferation of generative artificial intelligence tools and large language models, there is also a risk that the dissemination of such opinions, characterizations or disinformation may negatively impact the conclusions that these tools and models draw about our business and prospects.",in light of the recent proliferation of generative artificial intelligence tools and large language models there is also a risk that the dissemination of such opinions characterizations or disinformation may negatively impact the conclusions that these tools and models draw about our business and prospects,2024/QTR1/20240129_10-K_edgar_data_1035443_0001035443-24-000072.txt,2024,1,10-K,1035443,3,expansion_2024_batch_02,16403748b5128cc2,active_2021_2024,45,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Generic risk disclosure about AI impacts, not a firm-specific factual capability or offering.",gpt-5-mini,2026-03-14T02:00:33.679553+00:00,565f2d707d509fff457fb9792b39d7ab771ec7f93fa1c35284788e329027c6d0,Irrelevant,0,,data/labels/v1/labeling_batch_v2_filled.csv,human_verified,True
labeling_batch_v3,65103c9e448f922f,20260312,quarter_diversity_fill,87a96c7c8a73fafd,31d9b86a67bb5fd6,"Additionally, UCC's and/or Dow's use of artificial intelligence software may create additional risks related to the unintentional disclosure of proprietary, confidential, personal or otherwise sensitive information.",additionally ucc s and or dow s use of artificial intelligence software may create additional risks related to the unintentional disclosure of proprietary confidential personal or otherwise sensitive information,2024/QTR1/20240131_10-K_edgar_data_100790_0000029915-24-000003.txt,2024,1,10-K,100790,1,expansion_2024_batch_01,f0486686e226bcb6,active_2021_2024,26,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Primary function is risk disclosure about AI use, not asserting a present capability or offering.",gpt-5-mini,2026-03-14T17:21:34.654825+00:00,dd2712ea0f3291685b32d27ca65b22dee2ca8ddb45ac5ad45f9a710933083a5f,Irrelevant,0,,data/labels/v1/labeling_batch_v3_filled.csv,human_verified,True
labeling_batch_v3,662d33d952ad88c2,20260312,quarter_diversity_fill,13597490618527d0,25954bb34d3be0ba,"Incorporating artificial intelligence into our products, services, and operations may result in legal and regulatory risks or reputational harm or have other adverse consequences to our business, financial condition, or results of operations.",incorporating artificial intelligence into our products services and operations may result in legal and regulatory risks or reputational harm or have other adverse consequences to our business financial condition or results of operations,2024/QTR1/20240131_10-K_edgar_data_1035267_0001035267-24-000021.txt,2024,1,10-K,1035267,1,expansion_2024_batch_02,ac6970231a1b713c,active_2021_2024,33,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Primarily discloses legal/regulatory and reputational risk from AI, not a factual claim of capability.",gpt-5-mini,2026-03-14T17:21:36.447623+00:00,08675d4e07c204d3f97515c00fef31bb7396c396d4c431f3156c9a0e72be209e,Irrelevant,0,,data/labels/v1/labeling_batch_v3_filled.csv,human_verified,True
labeling_batch_v2,e9fa370611000863,20260311,quarter_diversity_fill,229455426599564b,82e424114f63bd00,"In addition, with the prolific use of artificial intelligence technologies, there is an increased risk of unauthorized or accidental disclosure.",in addition with the prolific use of artificial intelligence technologies there is an increased risk of unauthorized or accidental disclosure,2024/QTR1/20240131_10-K_edgar_data_1035267_0001035267-24-000021.txt,2024,1,10-K,1035267,3,expansion_2024_batch_02,ac6970231a1b713c,active_2021_2024,20,0.0,[],,12,Other,unknown,medium,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Generic risk disclosure about AI exposure, no firm-specific capability or offering disclosed.",gpt-5-mini,2026-03-14T02:00:37.214034+00:00,be570b99b72a69e17da711bb93fc68e6e08a9b91d0666d77ee520d9b454448d9,Irrelevant,0,,data/labels/v1/labeling_batch_v2_filled.csv,human_verified,True
labeling_batch_v3,2e526a566096d712,20260312,quarter_diversity_fill,f76505636f7d956a,7d4d8e014f279eae,"Legal and Regulatory Risks Government Regulation Is Evolving and Unfavorable Changes Could Harm Our Business We are subject to general business regulations and laws, as well as regulations and laws specifically governing the internet, physical, e-commerce, and omnichannel retail, digital content, web services, electronic devices, advertising, artificial intelligence technologies and services, and other products and services that we offer or sell.",legal and regulatory risks government regulation is evolving and unfavorable changes could harm our business we are subject to general business regulations and laws as well as regulations and laws specifically governing the internet physical e commerce and omnichannel retail digital content web services electronic devices advertising artificial intelligence technologies and services and other products and services that we offer or sell,2024/QTR1/20240202_10-K_edgar_data_1018724_0001018724-24-000008.txt,2024,1,10-K,1018724,6,expansion_2024_batch_02,bd1f13b27e22df38,active_2021_2024,61,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,Generic disclosure of regulatory risk mentioning AI; no firm-specific capability or current use claimed.,gpt-5-mini,2026-03-14T17:21:37.707464+00:00,5403e9ae562baf6b09faab02d7002fe3ba070a9c657b8e737b007a20e0c93f9b,Irrelevant,0,,data/labels/v1/labeling_batch_v3_filled.csv,human_verified,True
labeling_batch_v3,c403a2d44fe0799c,20260312,quarter_diversity_fill,3e52e5f9abccef20,de4698d162deb722,"For example we are investing in artificial intelligence, among other advanced technologies, and we may be unable to successfully integrate the technology into our products and services or keep pace with this rapidly changing technology.",for example we are investing in artificial intelligence among other advanced technologies and we may be unable to successfully integrate the technology into our products and services or keep pace with this rapidly changing technology,2024/QTR1/20240205_10-K_edgar_data_101829_0000101829-24-000008.txt,2024,1,10-K,101829,1,expansion_2024_batch_02,0b49d222c6b9a0d6,active_2021_2024,35,0.0,[],,12,Other,unknown,long,True,quarter_round_robin,,,,,other,,,,,,Speculative,high,"Firm states intention to invest and uncertainty about integration—forward-looking, not confirmed present capability.",gpt-5-mini,2026-03-14T17:21:39.595607+00:00,1ddd6c435c4f084c8392f4cd854e870ec92bca88bea4a7e862ad843c48445f44,Speculative,0,,data/labels/v1/labeling_batch_v3_filled.csv,human_verified,True
labeling_batch_v2,c1ef9d8fbe3d9ebe,20260311,quarter_diversity_fill,018f0bc04cf8e228,c2983d9a5a64f307,Issues in the development and use of artificial intelligence may result in reputational harm or liability.,issues in the development and use of artificial intelligence may result in reputational harm or liability,2024/QTR1/20240207_10-K_edgar_data_1043604_0001043604-24-000014.txt,2024,1,10-K,1043604,30,expansion_2024_batch_03,e02baa12a5033a79,active_2021_2024,16,0.0,[],,12,Other,unknown,medium,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Generic risk disclosure about AI harms, no firm-specific present/past capability or investment claimed.",gpt-5-mini,2026-03-14T02:00:39.028194+00:00,22a266c664d13707b730ee156de35f905bd155b646fdbc8ade4c05d51dc1d2e0,Irrelevant,0,,data/labels/v1/labeling_batch_v2_filled.csv,human_verified,True
labeling_batch_v3,a0d818d271626cc0,20260312,quarter_diversity_fill,9c970706026822e9,2b23070c64298b85,"Deficiencies or other failures of AI systems could subject us to competitive harm, regulatory action, penalties, legal liability, or brand or reputational harm.",deficiencies or other failures of ai systems could subject us to competitive harm regulatory action penalties legal liability or brand or reputational harm,2024/QTR1/20240207_10-K_edgar_data_1043604_0001043604-24-000014.txt,2024,1,10-K,1043604,34,expansion_2024_batch_03,e02baa12a5033a79,active_2021_2024,23,0.0,[],,12,Other,unknown,medium,True,quarter_round_robin,,,,,other,,,,,,Irrelevant,high,"Generic risk disclosure about AI consequences, not claiming any firm capability or specific AI offering.",gpt-5-mini,2026-03-14T17:21:40.925784+00:00,35e6a054a8948eb11985caa95fe08095b541b6db98ec3e044c361edc2facbccb,Irrelevant,0,,data/labels/v1/labeling_batch_v3_filled.csv,human_verified,True
