source,case_kind,priority,sentence,source_cik,source_year,ff12_code,ff12_name,label_reference,label_other,resolved_label,transition,fine_margin,notes,actionable_score,speculative_score,irrelevant_score,row_id,failure_mode_primary,failure_mode_note,probe_slice_v1,probe_reason,relevance_precondition,currentness_gate,business_claim_gate,revised_label,revised_rationale
irr,human_human_as_disagreement,highest,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",1023994.0,2024.0,3.0,Manuf,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,5,acquisition_or_exposure_reference,"Language references AI through ownership, acquisition, or exposure rather than direct operating capability.",True,Acquisition/ownership reference that may be mislabeled as actionable.,False,,,Irrelevant,Acquisition/ownership reference to an AI platform without a present operating claim by the reporting firm.
heldout,heldout_model_as_error,medium,AIQ also enables a series of AI-driven origination tasks and real-time risk analysis that are intended to further improve customer workflow efficiency.,,,,,Actionable,Speculative,,A->S,0.135,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.6527394032478333,0.7877724790573121,0.5821839570999146,28,current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",True,Strong positive example of enabled AI tasks in a product.,True,True,True,Actionable,Current product capability that enables specific AI-driven tasks and risk analysis.
heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca Cola system's retail customers to enable them to grow their businesses; and digitizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",,,,,Speculative,Actionable,,S->A,0.067,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.5816313600540162,0.514279842376709,0.5262333154678345,20,current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",True,Strategic operations digitization with explicit current-use language.,True,False,True,Speculative,Strategic priority and digitization agenda rather than a clearly existing deployed capability.
irr,human_human_as_disagreement,highest,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",1462056.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,2,current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",True,Current capability / infrastructure enablement.,True,True,True,Actionable,Current infrastructure capability that explicitly supports AI/ML workflows.
heldout,heldout_model_as_error,high,"Our research and development of such technology remains ongoing, and we may begin to use AI in other areas in our business operations.",,,,,Speculative,Actionable,,S->A,0.054,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7622939324378968,0.7084428644180298,0.6600475311279297,19,future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",True,Ongoing R&D plus may begin to use AI elsewhere.,True,False,True,Speculative,Ongoing R&D plus future possibility of using AI elsewhere in operations.
heldout,heldout_model_as_error,medium,"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",,,,,Speculative,Actionable,,S->A,0.114,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7858331775665284,0.6717481470108033,0.6190257668495178,24,future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",True,Portfolio-priority statement that mentions AI but not concrete deployment.,True,False,False,Speculative,"AI named as an investment area and priority, not as a present concrete operating use."
irr,human_human_as_disagreement,highest,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",1978111.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,6,future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",True,Classic intention-to-implement boundary case.,True,False,True,Speculative,Explicit implementation plan over 1-18 months and in-process improvement language.
irr,human_human_as_disagreement,highest,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",1052752.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,10,future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",True,Pure future possibility / may incorporate statement.,True,False,True,Speculative,Pure future possibility statement about incorporating AI into the business.
heldout,heldout_model_as_error,medium,"We manage, identify and assess risks from cybersecurity threats by monitoring and evaluating our threat environment and risk profile using various methods including, for example: through the use of automated tools, including but not limited to tools for monitoring, geolocation, remote wiping, threat detection, intrusion detection and prevention (including through the use of machine learning, a form of artificial intelligence), patch management, distributed denial of service (DDoS) protection and forensics; conducting (directly or through third parties) regular audits and threat assessments for internal and external threats; subscribing to reports and services that identify cybersecurity threats; analyzing reports of threats and actors; conducting vulnerability assessments to identify vulnerabilities; evaluating our and our industry s risk profile; conducting tabletop incident response exercises; and evaluating threats reported to us.",,,,,Actionable,Speculative,,A->S,0.126,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.5175617909431458,0.6434013986587525,0.5032002925872803,26,generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",True,Tooling/methods reference where AI is part of risk management process.,True,True,True,Actionable,Current risk-management process explicitly uses ML/AI-enabled tools in an operating workflow.
heldout,heldout_model_as_error,medium,"Our calculations of MAP rely upon complex techniques, algorithms, and machine learning models that seek to estimate the underlying number of unique people using one or more of these products, including by matching user accounts within an individual product and across multiple products when we believe they are attributable to a single person, and counting such group of accounts as one person.",,,,,Actionable,Speculative,,A->S,0.271,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.5333794927597046,0.8045802640914917,0.4972897469997406,31,generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",True,Metric-construction sentence that uses ML models without a clear paper-style commercialization claim.,True,True,True,Actionable,Current measurement process relies on machine learning models to perform a named business function.
heldout,heldout_model_as_error,high,"As we plan, develop, and implement changes to our delivery model to balance those services that can only be performed by humans against those that can be performed by generative AI, we may have insufficient or excess delivery personnel than required to meet customer demand.",,,,,Speculative,Actionable,,S->A,0.01,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.6341719603538514,0.624011573791504,0.5976387858390808,15,in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",True,Planning and implementation language with operational detail.,True,False,True,Speculative,"Planning, development, and implementation-in-progress language without a clear already-deployed AI workflow."
irr,human_human_as_disagreement,highest,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",1374339.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,0,in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",True,In-progress integration with a trailing risk clause that may confuse the label.,True,False,True,Speculative,Build-and-integrate language indicates ongoing rollout rather than established present capability.
irr,human_human_as_disagreement,highest,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",1326205.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,,3,in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",True,Investment plus concrete downstream product uses.,True,False,True,Speculative,"Investment in AI initiatives points to intended functionality, not clearly current deployment."
