irr_item_id,sample_id,sentence,source_cik,source_year,ff12_code,ff12_name,rater1_label,rater2_label,resolved_label,transition
b7ab56f4c58361b6,018d846d170a631b,"Our high-performance enterprise class SSD include high-performance flash-based SSD and software solutions that are optimized for performance applications providing a range of capacity and performance levels primarily for use in enterprise servers and supporting high-volume online transactions, AI-related workloads, data analysis and other enterprise applications.",106040,2024,12,Other,Actionable,Irrelevant,Irrelevant,A->I
45bd86334b5a4e72,40bde3bec3a3f3b9,"We are in the early stages of implementing our plan for the construction and operation of clean-energy-powered data centers to lease to large enterprise information technology (IT) customers that are creating or addressing the growing demand for AI, Cloud and High-Performance Computing (HPC) digital services.",1174891,2024,12,Other,Actionable,Irrelevant,Irrelevant,A->I
060535d5cb5631a3,4144f4d0f5d5a037,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",1374339,2024,12,Other,Actionable,Speculative,Actionable,A->S
e2ccdb6ff8c9cbbc,4a98a4e32ca195a3,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",1145255,2024,12,Other,Actionable,Speculative,Actionable,A->S
8b17e3468ddc4cfe,77342759203bcd77,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",1462056,2024,12,Other,Actionable,Speculative,Actionable,A->S
cec8ccd31f1c7e24,9ff3a54dcf4d9d8a,"Additionally, we deliver a range of connectivity solutions for the Internet of Things, smartphones, tablet computers, virtual reality and artificial intelligence/machine learning applications to help our customers meet their current challenges and future innovations.",1385157,2024,12,Other,Actionable,Irrelevant,Actionable,A->I
00e4a2604a0468ec,b5c8399bb55eccda,"We have entered into a Loan Agreement with Beyebe AI pursuant to which we may borrow up to 1,000,000 to fund our operations.",2016167,2024,12,Other,Actionable,Irrelevant,Irrelevant,A->I
cc12d57c8ccc862b,daaa2b2c419e2496,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",1326205,2024,12,Other,Actionable,Speculative,Actionable,A->S
5d0bf3a1db9eadc5,e2df4d3a834cff5f,This cloud-based AI-driven security operations platform for the modern SOC harnesses the power of AI to radically improve security outcomes and transform security operations.,1327567,2024,12,Other,Actionable,Irrelevant,Actionable,A->I
1319a1fdf61b9e7f,e8670325d27532fe,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",1616533,2024,12,Other,Actionable,Speculative,Actionable,A->S
b162d7cf2e386f7e,f233cfa1e8291d6d,"In addition, Dow Jones produces customized Due Diligence Reports to assist its customers with regulatory compliance, including IntegrityCheck, a generative AI-enabled automated report.",1564708,2024,12,Other,Actionable,Irrelevant,Irrelevant,A->I
aa93d9529c08a614,fd676d1f8031506f,"From February 2021 to April 2022, Benjamin has served as Senior Capital Market Advisor for Iveda Solutions, Inc. (NASDAQ: IVDA), an AI and IoT technology company to assist with financing and uplisting to Nasdaq.",1066764,2024,12,Other,Actionable,Irrelevant,Irrelevant,A->I
a07133e18416473b,49fac59fad5624d3,These clients are consciously evaluating potential areas where AI-enabled technologies could be utilized in the future.,1720420,2024,12,Other,Speculative,Irrelevant,Irrelevant,S->I
73b21526e0018334,6687ff9d0220c3c1,"Additionally, accelerating AI trends could catalyze the smartphone transformation with incremental content driving unprecedented functional and physical densities.",4127,2024,12,Other,Speculative,Irrelevant,Irrelevant,S->I
f7a9d8ed21ba97ab,6c457c2fff577088,"We plan to build Earth-2, a digital twin of the Earth on NVIDIA AI and NVIDIA Omniverse platforms.",1045810,2024,12,Other,Speculative,Irrelevant,Irrelevant,S->I
8e50645be7ce70dc,78396ddc85221989,"Advancements in technology, such as advanced safety systems; automated package sorting, handling, and delivery; autonomous delivery; third-party supply chain insight and management; artificial intelligence; vehicle platooning; alternative fuel vehicles; and digitization of freight services, may necessitate that we increase investments in order to remain competitive, and our customers may not be willing to accept higher rates to cover the cost of these investments.",1048911,2024,12,Other,Speculative,Irrelevant,Speculative,S->I
a37a2f892132db1b,7c3bc0ff7f98b447,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",1978111,2024,12,Other,Speculative,Actionable,Speculative,S->A
b15fd04cb076182e,80cf4a6334cba61a,"The ongoing development of AI and machine learning, algorithms, sensors, and flight control systems paves the way for fully autonomous eVTOL services in the future.",1481504,2024,12,Other,Speculative,Irrelevant,Speculative,S->I
c42e42dc5925e1ea,82b2d2b0d27928d2,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",1103795,2024,12,Other,Speculative,Actionable,Speculative,S->A
30800c922b72d436,8841c17407b5b230,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",1116132,2024,12,Other,Speculative,Actionable,Speculative,S->A
