irr_item_id,sentence,rater2_label,rater2_note
396f8e326cdb60aa,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",,
b7ab56f4c58361b6,"Our high-performance enterprise class SSD include high-performance flash-based SSD and software solutions that are optimized for performance applications providing a range of capacity and performance levels primarily for use in enterprise servers and supporting high-volume online transactions, AI-related workloads, data analysis and other enterprise applications.",,
2333b8bbae8df8f4,"He has strong expertise in cyber security, AI, modeling and simulation and has chaired sessions at symposiums on these subjects.",,
9879400a69df3c21,"We specifically focus on members with anxiety, depression and/or substance use disorder(s) by using AI and predictive modeling, applying claims-based analytics to identify health plan members with medical costs that may be impacted through behavioral health treatment with the Ontrak program.",,
fde8f4c41b83aa24,"Oracle MySQL HeatWave combines transactions, real-time analytics, machine learning and generative AI in one managed cloud service.",,
03244cce664f3d58,"Utilizing massively parallel cluster computing and machine learning algorithms and technology, our data intelligence solutions make available actionable data for marketers, researchers and application publishers through an automated platform.",,
23d0793b675b46d4,"Our extensive historical experience in developing high speed synchronous static random access memory, or SRAM, facilitated our ability to transform the focus of our business to the development of reliable hardware AI products and solutions.",,
9b023196150b2438,"We currently offer software products for pharmaceutical research, development, and commercialization, as follows: Three simulation products that provide time-dependent results based on solving large sets of mechanistic differential equations: GastroPlus DDDPlus MembranePlus Two products that predict and analyze static properties of chemicals utilizing both AI and machine-learning technologies: ADMET Predictor MedChem Designer Seven products that are based on mechanistic, mathematical models and differential equations: DILIsym NAFLDsym ILDsym IPFsym RENAsym MITOsym OBESITYsym One product designed for modeling and simulation that allows for population analyses, rapid clinical trial data analyses, and regulatory submissions: MonolixSuite (the combination of Monolix , PKanalix , and Simulx).",,
3effd0cb1f4c9d22,"Our principal solutions, available individually or through our DAAP, can be summarized as follows: Audience Development AI-generated dynamic audience creation using predictive analytics via machine learning methods applied to real-world data (RWD) to assist healthcare providers (HCPs) in identifying patients who may be qualified for specific therapies, raise awareness of patient access pathways, and identify early indicators of non-adherence among patient populations.",,
0ffbdd4b116d9e2e,"We are continuing our research and development partnership with Argonne National Laboratory and utilizing their high performance computing with AI technology and are optimizing higher hydrogen blend configurations, with the goal of creating a 100 hydrogen microturbine.",,
1c9251ea2f1e3274,"Web Security Engine, an AI-driven tool that makes decisions aided by advanced heuristics and 24 7 analysts; covers 82 threat categories, including web threats such as phishing, fraud.",,
45bd86334b5a4e72,"We are in the early stages of implementing our plan for the construction and operation of clean-energy-powered data centers to lease to large enterprise information technology (IT) customers that are creating or addressing the growing demand for AI, Cloud and High-Performance Computing (HPC) digital services.",,
060535d5cb5631a3,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",,
b11af48593430343,"For the residential home portfolio valuation, HouseCanary generated an estimated value for each individual home using its proprietary automated valuation models built to leverage machine learning algorithms and an extensive database that may include MLS information, county assessor records, mortgage and other public records, sales history for a subject property and its surrounding neighborhood, real estate market trends, and macro and local economic and housing data.",,
e2ccdb6ff8c9cbbc,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",,
5dd54144df23d819,"Our newest endeavor, askROI, is a generative AI platform built upon a proprietary LLM.",,
24c6b6e21ee41d3b,"Reiss brings in-depth expertise in could, SaaS, AI, cybersecurity, and application networking to DZS.",,
8b17e3468ddc4cfe,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",,
3ee96e20d4a80060,"Intellicheck provides access to a wide variety of data signals including device fingerprinting, IP address, phone number, time zone, geographic location and more to analyze, using machine learning, the risk of doing business with that person.",,
b60b7f5a448b3f85,"These tools provide advanced, AI-powered phishing detection and remediation for all Microsoft 365 email users in the environment.",,
811143c7d3b7df3a,"Our solutions help firms reduce regulatory, financial, and reputational risk through workflow and automation, AI, predictive analytics, and rules-based risk scoring.",,
e468170516766fb9,"It also includes Tanzu AI Solutions, a set of capabilities that help application teams deliver generative AI-powered, intelligent applications quickly, safely, and at scale.",,
ed39c3cad5c3e8f7,"The Program is a diversified, systematic approach that uses machine learning on a portfolio of diversified, liquid financial and commodities futures contracts.",,
cec8ccd31f1c7e24,"Additionally, we deliver a range of connectivity solutions for the Internet of Things, smartphones, tablet computers, virtual reality and artificial intelligence/machine learning applications to help our customers meet their current challenges and future innovations.",,
