source,case_kind,priority,sentence,source_cik,source_year,ff12_code,ff12_name,label_reference,label_other,resolved_label,transition,fine_margin,notes,actionable_score,speculative_score,irrelevant_score
irr,human_human_as_disagreement,highest,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",1374339.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",1145255.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"This Infrastructure-as-a-Service (IaaS) enables use cases including backups, multi-cloud, application storage, ransomware protection, and storage for AI/ML workflows.",1462056.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"We are making investments in AI initiatives, including generative AI, to, among other things, recommend relevant unconnected content across our products, enhance our advertising tools, develop new products, and develop new features for existing products.",1326205.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"We have invested and expect to continue to invest heavily in research and development for new and innovative products, including AI solutions.",1616533.0,2024.0,12.0,Other,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"XENE Acquisition On February 7, 2024, SG DevCorp closed its acquisition of Majestic World Holdings, a real estate technology firm and owner of the Xene AI Software platform XENE Platform .",1023994.0,2024.0,3.0,Manuf,Actionable,Speculative,Actionable,A->S,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"Here are some of the technologies that we intend successfully to implement in our mobile application (during 1-18 months): Improvement of the implemented AI technology: The app will provide Implemented AI technology that is in the process of being fully implemented, revision and will undergo continuous refinement and improvement to ensure the highest level of performance.",1978111.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"Dr. Bunting has other ongoing active business investments in the evolving internet artificial intelligence industry, as it relates to marketing and advertising.",1103795.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"For example, we will continue to enhance certain of our machine learning models to improve our customer capture and segmentation capabilities.",1116132.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"The process continues by acquiring building data to analyze energy consumption to quickly identify savings (and hence, improved NOI) with intelligent machine learning.",1108645.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"In the future, we directly or through our third-party provided information technology systems or software may incorporate artificial intelligence AI capabilities into our business.",1052752.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
irr,human_human_as_disagreement,highest,"Plan of Operation We devote substantial efforts to enter into new-emerging application industries of Internet Technology, Artificial Intelligence (AI) and the Internet of Things (IOT).",1438461.0,2024.0,12.0,Other,Speculative,Actionable,Speculative,S->A,,"Human-human disagreement. Use for rubric clarity, not for model scoring.",,,
heldout,heldout_model_as_error,high,"As we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the application of new technologies such as artificial intelligence, we may become subject to additional competition.",,,,,Speculative,Actionable,,S->A,0.0,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.6754600381851197,0.6753529286384583,0.629945695400238
heldout,heldout_model_as_error,high,"Our customers have asked, and may come to expect, that we use generative AI to develop software for them at comparatively lower costs than software developed by our human delivery personnel.",,,,,Speculative,Actionable,,S->A,0.004,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.609499273300171,0.6059656715393067,0.558432936668396
heldout,heldout_model_as_error,high,"If we are unable or slow to develop, adopt, and deploy generative AI technologies in our business, our competitiveness against our industry peers will suffer.",,,,,Speculative,Actionable,,S->A,0.006,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7884159827232361,0.7826267337799073,0.683601975440979
heldout,heldout_model_as_error,high,"As we plan, develop, and implement changes to our delivery model to balance those services that can only be performed by humans against those that can be performed by generative AI, we may have insufficient or excess delivery personnel than required to meet customer demand.",,,,,Speculative,Actionable,,S->A,0.01,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.6341719603538514,0.624011573791504,0.5976387858390808
heldout,heldout_model_as_error,high,"Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users.",,,,,Speculative,Actionable,,S->A,0.027,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.6686611151695252,0.6418422436714173,0.6008601188659668
heldout,heldout_model_as_error,high,"In particular, we expect our AI initiatives will require increased investment in infrastructure and headcount.",,,,,Speculative,Actionable,,S->A,0.039,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.71036940574646,0.6712112879753114,0.5902985334396362
heldout,heldout_model_as_error,high,"Custom or new technology (including potential generative artificial intelligence) that is heavily relied upon by us or our counterparties may not be maintained and updated appropriately due to resource restraints, or other factors, which could cause technology failures or give rise to additional operational or security risks.",,,,,Speculative,Actionable,,S->A,0.045,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7945329093933106,0.749424753189087,0.748492956161499
heldout,heldout_model_as_error,high,"Our research and development of such technology remains ongoing, and we may begin to use AI in other areas in our business operations.",,,,,Speculative,Actionable,,S->A,0.054,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7622939324378968,0.7084428644180298,0.6600475311279297
heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca Cola system's retail customers to enable them to grow their businesses; and digitizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",,,,,Speculative,Actionable,,S->A,0.067,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.5816313600540162,0.514279842376709,0.5262333154678345
heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitalize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca-Cola system s retail customers to enable them to grow their businesses; and digitalizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",,,,,Speculative,Actionable,,S->A,0.067,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.574796257019043,0.5076515078544617,0.5148311853408813
heldout,heldout_model_as_error,high,"We incur significant expenses in operating our business, and we expect our expenses to continue to increase in the future as we broaden our user base, as users increase the amount and types of content they consume and the data they share with us, for example with respect to video, as we develop and implement new products, as we market new and existing products and promote our brands, as we continue to expand our technical infrastructure, as we continue to invest in new and unproven technologies, including AI and machine learning, and as we continue our efforts to focus on privacy, safety, security, and content review.",,,,,Actionable,Speculative,,A->S,0.099,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7428097701072693,0.841957552433014,0.6426293277740478
heldout,heldout_model_as_error,medium,Other companies may develop AI features and technologies that are similar or superior to our technologies or are more cost-effective to develop and deploy.,,,,,Speculative,Actionable,,S->A,0.106,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.861982479095459,0.756190357208252,0.6885273456573486
heldout,heldout_model_as_error,medium,"In 2024, we intend to focus on six key investment areas: AI, the metaverse, our discovery engine, monetization of our products and services, regulatory readiness, and enhancing developer efficiency to build, iterate, and optimize products quickly.",,,,,Speculative,Actionable,,S->A,0.114,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.7858331775665284,0.6717481470108033,0.6190257668495178
heldout,heldout_model_as_error,medium,"Further, our ability to continue to develop and effectively deploy AI technologies is dependent on access to specific third-party equipment and other physical infrastructure, such as processing hardware and network capacity, as to which we cannot control the availability or pricing, especially in a highly competitive environment.",,,,,Speculative,Actionable,,S->A,0.115,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.8360866451263428,0.7208422422409058,0.7034128904342651
heldout,heldout_model_as_error,medium,"We manage, identify and assess risks from cybersecurity threats by monitoring and evaluating our threat environment and risk profile using various methods including, for example: through the use of automated tools, including but not limited to tools for monitoring, geolocation, remote wiping, threat detection, intrusion detection and prevention (including through the use of machine learning, a form of artificial intelligence), patch management, distributed denial of service (DDoS) protection and forensics; conducting (directly or through third parties) regular audits and threat assessments for internal and external threats; subscribing to reports and services that identify cybersecurity threats; analyzing reports of threats and actors; conducting vulnerability assessments to identify vulnerabilities; evaluating our and our industry s risk profile; conducting tabletop incident response exercises; and evaluating threats reported to us.",,,,,Actionable,Speculative,,A->S,0.126,Held-out model miss. Review wording and whether A/S split is rubric-stable.,0.5175617909431458,0.6434013986587525,0.5032002925872803
