irr_item_id,sentence,rater2_label,rater2_note
396f8e326cdb60aa,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",,
2333b8bbae8df8f4,"He has strong expertise in cyber security, AI, modeling and simulation and has chaired sessions at symposiums on these subjects.",,
11deafd3377a8d03,"Additionally, Mr. Bordes currently serves as a director for (i) Logiq, Inc. (OTC: LGIQ), a U.S.-based advertising technology company and significant stockholder of the Company, (ii) GoLogiq, Inc. (OTC: GOLQ), a U.S.-based global provider of fintech and consumer data analytics, (iii) Beasley Broadcast Group (Nasdaq: BBGI), a public media and digital broadcast company providing music, news, sports information and entertainment to over 19 million listeners from 63 stations across the U.S., (iv) Kubient (Nasdaq: KBNT), a cloud advertising platform, where he previously served as its CEO and led the company's IPO and listing on NASDAQ, and (v) Fraud.net, a leading AI powered collective intelligence fraud prevention, risk mitigation cloud infrastructure platform for the real-time economy.",,
9879400a69df3c21,"We specifically focus on members with anxiety, depression and/or substance use disorder(s) by using AI and predictive modeling, applying claims-based analytics to identify health plan members with medical costs that may be impacted through behavioral health treatment with the Ontrak program.",,
f9afac5d57d4101a,The portfolio managers seek exposure to companies that score well on ESG metrics and that the portfolio managers believe will outperform based on ML/AI models.,,
8dd8777ca30d4005,"Finally, Visa Risk Manager with scheme agnostic Visa Advanced Authorization is a comprehensive AI-powered fraud risk management solution.",,
da580c83c181c045,"The Company's innovative technology uses machine learning to describe how multi-component plant-based medicines have been effective as therapies for thousands of years and, more importantly, to predict new and better possible drug candidates using generative AI.",,
e77bf411c92f03d1,"We use artificial intelligence in our products and services which may result in operational challenges, legal liability, reputational concerns and competitive risks.",,
1c9251ea2f1e3274,"Web Security Engine, an AI-driven tool that makes decisions aided by advanced heuristics and 24 7 analysts; covers 82 threat categories, including web threats such as phishing, fraud.",,
6a72fc07451c5bd8,We have been and expect to continue to use artificial intelligence AI in our solutions that support our business.,,
