row_id,source,case_kind,priority,sentence,failure_mode_primary,benchmark_role
12,heldout,heldout_model_as_error,high,"As we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the application of new technologies such as artificial intelligence, we may become subject to additional competition.",risk_or_competition_reference,boundary_review_pack_v1_blinded
13,heldout,heldout_model_as_error,high,"Our customers have asked, and may come to expect, that we use generative AI to develop software for them at comparatively lower costs than software developed by our human delivery personnel.",future_intent_or_expectation,boundary_review_pack_v1_blinded
14,heldout,heldout_model_as_error,high,"If we are unable or slow to develop, adopt, and deploy generative AI technologies in our business, our competitiveness against our industry peers will suffer.",risk_or_competition_reference,boundary_review_pack_v1_blinded
15,heldout,heldout_model_as_error,high,"As we plan, develop, and implement changes to our delivery model to balance those services that can only be performed by humans against those that can be performed by generative AI, we may have insufficient or excess delivery personnel than required to meet customer demand.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
16,heldout,heldout_model_as_error,high,"Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users.",generic_metric_or_tooling_reference,boundary_review_pack_v1_blinded
17,heldout,heldout_model_as_error,high,"In particular, we expect our AI initiatives will require increased investment in infrastructure and headcount.",future_intent_or_expectation,boundary_review_pack_v1_blinded
18,heldout,heldout_model_as_error,high,"Custom or new technology (including potential generative artificial intelligence) that is heavily relied upon by us or our counterparties may not be maintained and updated appropriately due to resource restraints, or other factors, which could cause technology failures or give rise to additional operational or security risks.",risk_or_competition_reference,boundary_review_pack_v1_blinded
19,heldout,heldout_model_as_error,high,"Our research and development of such technology remains ongoing, and we may begin to use AI in other areas in our business operations.",future_intent_or_expectation,boundary_review_pack_v1_blinded
20,heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca Cola system's retail customers to enable them to grow their businesses; and digitizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",current_capability_or_enabled_use,boundary_review_pack_v1_blinded
21,heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitalize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca-Cola system s retail customers to enable them to grow their businesses; and digitalizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",current_capability_or_enabled_use,boundary_review_pack_v1_blinded
22,heldout,heldout_model_as_error,high,"We incur significant expenses in operating our business, and we expect our expenses to continue to increase in the future as we broaden our user base, as users increase the amount and types of content they consume and the data they share with us, for example with respect to video, as we develop and implement new products, as we market new and existing products and promote our brands, as we continue to expand our technical infrastructure, as we continue to invest in new and unproven technologies, including AI and machine learning, and as we continue our efforts to focus on privacy, safety, security, and content review.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
0,irr,human_human_as_disagreement,highest,"We continue to build and integrate AI into our offerings, and this innovation presents risks and challenges that could affect its adoption, and therefore our business.",in_progress_build_or_integrate,boundary_review_pack_v1_blinded
1,irr,human_human_as_disagreement,highest,"The Hennessy Stance ESG ETF seeks long term growth of capital by combining environmental, social, and governance ESG and machine learning/artificial intelligence ML/AI in an ETF structure.",current_capability_or_product_packaging,boundary_review_pack_v1_blinded
