row_id,predicted_label,short_rationale
1,Actionable,"Current ETF product packaging explicitly combines ML/AI in the fund structure."
4,Speculative,"R&D and future investment language; no present deployed AI capability is claimed."
7,Irrelevant,"This is an investment/exposure reference, not a firm AI capability claim."
8,Speculative,"Continuing to enhance models is in-progress build/integrate language."
9,Actionable,"The process describes a current ML-based operational workflow for identifying savings."
11,Speculative,"The sentence is an operation plan and market-entry intention, not current use."
13,Speculative,"The use of AI is framed as expected or future-facing, not clearly current."
16,Actionable,"Current metrics calculations rely on ML models as part of an operating process."
17,Speculative,"Expected future investment needs are not a current capability claim."
18,Irrelevant,"This is a technology-risk statement, not a present AI-use disclosure."
21,Speculative,"Digitalization is framed as a priority and goal, not a clearly current AI capability."
22,Speculative,"The sentence describes future investment in unproven technologies and implementation in progress."
23,Irrelevant,"This is a competitor-risk statement, not a direct AI capability claim."
27,Irrelevant,"AI appears only in a competition-risk context rather than a disclosed operating use."
29,Speculative,"The sentence is forward-looking competition and progress language, not current deployed capability."
30,Speculative,"The sentence is forward-looking competition and progress language, not current deployed capability."
32,Actionable,"The metric calculation uses ML models in a current measurement process."
33,Actionable,"The metric calculation uses ML models in a current measurement process."
