batch_id,batch_row_id,sampling_seed,selection_reason,sentence_id,sentence_text_id,sentence,sentence_norm,label,is_uncertain,uncertainty_note,source_file,source_year,source_quarter,source_form,source_cik,sentence_index,manifest_id,manifest_row_id,source_window_id,token_count,fragment_score,integrity_flags,sic,ff12_code,ff12_name,industry_metadata_source,length_bin,edge_case_flag,filing_selection_reason,original_sentence,original_sentence_index,prior_manual_label,prior_assistive_label,source_section,match_status,match_score,candidate_sentence_index,prelabel_eligible,skip_reason
labeling_batch_v1,ac6c2a94d410ab5d,20260306,quarter_ff12_round_robin,8a565a36583fdb5d,a2c1cff798167124,"Our global strategy is to deliver higher value by focusing on the following strategic priorities: Invest in high-growth technologies such as hybrid cloud, security, data analytics, artificial intelligence (""AI""), hyperscale infrastructure, and services.",our global strategy is to deliver higher value by focusing on the following strategic priorities invest in high growth technologies such as hybrid cloud security data analytics artificial intelligence ai hyperscale infrastructure and services,,,,2024/QTR1/20240126_10-K_edgar_data_1177394_0001177394-24-000014.txt,2024,1,10-K,1177394,1,pilot_2024_10k_v1,17e39b3512306655,active_2021_2024,33,0.0,[],5045.0,9,Shops,controls_by_firm_year,long,False,quarter_ff12_round_robin,"Our global strategy is to deliver higher value by focusing on the following strategic priorities: Invest in high-growth technologies such as hybrid cloud, security, data analytics, artificial intelligence (""AI""), hyperscale infrastructure, and services.",1,nan,,item_1_business,exact,1.0,1,True,
labeling_batch_v1,17b223dea7a65981,20260306,quarter_ff12_round_robin,bb7466928a4c7499,ec2f00643842d731,"We offer a comprehensive catalog of more than 200,000 technology products as measured by active SKU's from more than 2,500 original equipment manufacturers OEM , suppliers of traditional technologies such as personal computing devices, mobile phones and accessories, and high-growth technologies such as cloud, security, data/analytics, AI and hyperscale infrastructure.",we offer a comprehensive catalog of more than 200 000 technology products as measured by active sku s from more than 2 500 original equipment manufacturers oem suppliers of traditional technologies such as personal computing devices mobile phones and accessories and high growth technologies such as cloud security data analytics ai and hyperscale infrastructure,,,,2024/QTR1/20240126_10-K_edgar_data_1177394_0001177394-24-000014.txt,2024,1,10-K,1177394,2,pilot_2024_10k_v1,17e39b3512306655,active_2021_2024,54,0.0,[],5045.0,9,Shops,controls_by_firm_year,long,False,quarter_ff12_round_robin,"Our Products and Suppliers We offer a comprehensive catalog of more than 200,000 technology products (as measured by active SKU's) from more than 2,500 original equipment manufacturers OEM ), suppliers of traditional technologies such as personal computing devices, mobile phones and accessories, and high-growth technologies such as cloud, security, data/analytics, AI and hyperscale infrastructure.",2,nan,,item_1_business,exact,1.0,2,True,
labeling_batch_v1,d0f39f7556a3374a,20260306,quarter_diversity_fill,de0db4e35d53c11e,fa849ce60b68f07c,"Furthermore, the nature and sophistication of cyber-attacks continues to evolve as cyber-attackers use Artificial Intelligence to develop malicious code and sophisticated phishing attempts and other attacks on operational control systems and data.",furthermore the nature and sophistication of cyber attacks continues to evolve as cyber attackers use artificial intelligence to develop malicious code and sophisticated phishing attempts and other attacks on operational control systems and data,,,,2024/QTR1/20240209_10-K_edgar_data_100122_0000100122-24-000002.txt,2024,1,10-K,100122,1,pilot_2024_10k_v1,bf9c1d0c591b391b,active_2021_2024,32,0.0,[],,12,Other,unknown,long,False,quarter_fill,"Furthermore, the nature and sophistication of cyber-attacks continues to evolve as cyber-attackers use Artificial Intelligence to develop malicious code and sophisticated phishing attempts and other attacks on operational control systems and data.",1,nan,,item_1a_risk_factors,exact,1.0,1,True,
labeling_batch_v1,17cf225ea2a46eb1,20260306,quarter_ff12_round_robin,e4b8b6dbec490f80,0f2b88419d21ea95,"The use of AI/ML methods contain inherent risks that may expose us to unexpected losses, damage our reputation, have an adverse impact on our business operations, and violate our legal and regulatory obligations.",the use of ai ml methods contain inherent risks that may expose us to unexpected losses damage our reputation have an adverse impact on our business operations and violate our legal and regulatory obligations,,,,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,2024,1,10-K,1026214,1,pilot_2024_10k_v1,b0e0b6d2a20d343e,active_2021_2024,34,0.0,[],6111.0,11,Money,controls_by_firm_year,long,True,quarter_ff12_round_robin,"N The use of AI/ML methods contain inherent risks that may expose us to unexpected losses, damage our reputation, have an adverse impact on our business operations, and violate our legal and regulatory obligations.",1,nan,,other,exact,1.0,6,True,
labeling_batch_v1,1edf449cbc0420a1,20260306,quarter_ff12_round_robin,1904b80dd2fe1a57,9bb88d04367f2ec4,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",we may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using ai ml methods in our business the pace of technological change and rapid adoption of ai ml by our business partners and competitors,,,,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,2024,1,10-K,1026214,12,pilot_2024_10k_v1,b0e0b6d2a20d343e,active_2021_2024,54,0.0,[],6111.0,11,Money,controls_by_firm_year,long,True,quarter_ff12_round_robin,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of FREDDIE MAC | 2023 Form 10-K 128 Risk Factors technological change, and rapid adoption of AI/ML by our business partners and competitors.",12,nan,,other,exact,1.0,12,True,
labeling_batch_v1,6c444832684f0333,20260306,quarter_ff12_round_robin,e59ee2f288168a96,40c6e9b85f53de09,,,,,,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,2024,1,10-K,1026214,14,pilot_2024_10k_v1,b0e0b6d2a20d343e,active_2021_2024,6,0.0,[],6111.0,11,Money,controls_by_firm_year,short,False,quarter_ff12_round_robin,N AI/ML - Artificial Intelligence/Machine Learning.,14,nan,,other,unmatched,0.0,14,False,unmatched_noise
labeling_batch_v1,a40e3072bfdfdc07,20260306,quarter_diversity_fill,4242b9a10b4ff277,2468efd746dbed35,"Our Affiliates may not compare favorably with their competitors in any or all of these categories, and technological developments, including financial applications and services based on artificial intelligence AI , may over time reduce the demand for, or clients willingness to pay for, certain products and services.",our affiliates may not compare favorably with their competitors in any or all of these categories and technological developments including financial applications and services based on artificial intelligence ai may over time reduce the demand for or clients willingness to pay for certain products and services,,,,2024/QTR1/20240216_10-K_edgar_data_1004434_0001004434-24-000010.txt,2024,1,10-K,1004434,1,pilot_2024_10k_v1,8badc011c486e7ff,active_2021_2024,47,0.0,[],,12,Other,unknown,long,True,quarter_fill,"Our Affiliates may not compare favorably with their competitors in any or all of these categories, and technological developments, including financial applications and services based on artificial intelligence AI ), may over time reduce the demand for, or clients willingness to pay for, certain products and services.",1,nan,,item_1_business,exact,1.0,1,True,
labeling_batch_v1,8b718b65d388a9b9,20260306,quarter_diversity_fill,3dd04eecfc20c3ba,9c293c4480aa5e43,"For example, the use of generative AI technologies by us, our Affiliates, or our respective third-party service providers could result in new and expanded risks.",for example the use of generative ai technologies by us our affiliates or our respective third party service providers could result in new and expanded risks,,,,2024/QTR1/20240216_10-K_edgar_data_1004434_0001004434-24-000010.txt,2024,1,10-K,1004434,2,pilot_2024_10k_v1,8badc011c486e7ff,active_2021_2024,25,0.0,[],,12,Other,unknown,long,True,quarter_fill,"For example, the use of generative AI technologies by us, our Affiliates, or our respective third-party service providers could result in new and expanded risks.",2,nan,,item_1_business,exact,1.0,2,True,
labeling_batch_v1,6fc28a8e7bc0db4f,20260306,quarter_diversity_fill,4d60a30db86bb743,e1db53fd7bfc6f43,"The advancement of AI has given rise to additional vulnerabilities and potential entry points for cyber threats, providing threat actors with additional tools to automate attacks, evade detection, or generate sophisticated phishing emails.",the advancement of ai has given rise to additional vulnerabilities and potential entry points for cyber threats providing threat actors with additional tools to automate attacks evade detection or generate sophisticated phishing emails,,,,2024/QTR1/20240216_10-K_edgar_data_1004434_0001004434-24-000010.txt,2024,1,10-K,1004434,3,pilot_2024_10k_v1,8badc011c486e7ff,active_2021_2024,33,0.0,[],,12,Other,unknown,long,False,quarter_fill,"The advancement of AI has given rise to additional vulnerabilities and potential entry points for cyber threats, providing threat actors with additional tools to automate attacks, evade detection, or generate sophisticated phishing emails.",3,nan,,item_1_business,exact,1.0,3,True,
labeling_batch_v1,e575d677639570ce,20260306,quarter_diversity_fill,c45311384e048d97,26708af00f2ae852,"Additionally, proprietary, confidential, and/or sensitive information of the Company or our tenants could be leaked, disclosed, or revealed as a result of or in connection with our employees , personnel's, or vendors use of generative artificial intelligence technologies.",additionally proprietary confidential and or sensitive information of the company or our tenants could be leaked disclosed or revealed as a result of or in connection with our employees personnel s or vendors use of generative artificial intelligence technologies,,,,2024/QTR1/20240221_10-K_edgar_data_1004036_0000899715-24-000044.txt,2024,1,10-K,1004036,2,pilot_2024_10k_v1,fad943f75d220628,active_2021_2024,39,0.0,[],,12,Other,unknown,long,True,quarter_fill,"Additionally, proprietary, confidential, and/or sensitive information of the Company or our tenants could be leaked, disclosed, or revealed as a result of or in connection with our employees , personnel s, or vendors use of generative artificial intelligence technologies.",2,nan,,item_1a_risk_factors,exact,1.0,2,True,
