row_id,source,case_kind,priority,sentence,failure_mode_primary,failure_mode_note,label_reference,label_other,reviewed_label,reviewed_rationale,benchmark_role
12,heldout,heldout_model_as_error,high,"As we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the application of new technologies such as artificial intelligence, we may become subject to additional competition.",risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
13,heldout,heldout_model_as_error,high,"Our customers have asked, and may come to expect, that we use generative AI to develop software for them at comparatively lower costs than software developed by our human delivery personnel.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Customer expectations about using generative AI are future-facing and do not assert current deployment.,boundary_review_pack_v1
14,heldout,heldout_model_as_error,high,"If we are unable or slow to develop, adopt, and deploy generative AI technologies in our business, our competitiveness against our industry peers will suffer.",risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
15,heldout,heldout_model_as_error,high,"As we plan, develop, and implement changes to our delivery model to balance those services that can only be performed by humans against those that can be performed by generative AI, we may have insufficient or excess delivery personnel than required to meet customer demand.",in_progress_build_or_integrate,"Language signals building, investing, integrating, or implementation in progress rather than clearly deployed current use.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
16,heldout,heldout_model_as_error,high,"Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users.",generic_metric_or_tooling_reference,"Language references algorithms, models, tools, or methodology support without a clear commercialization claim.",Speculative,Actionable,Speculative,"The sentence says methodologies may evolve through machine learning, which is future-oriented rather than a clear current AI-use claim.",boundary_review_pack_v1
17,heldout,heldout_model_as_error,high,"In particular, we expect our AI initiatives will require increased investment in infrastructure and headcount.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Expected future investment requirements for AI initiatives are not current capability disclosures.,boundary_review_pack_v1
18,heldout,heldout_model_as_error,high,"Custom or new technology (including potential generative artificial intelligence) that is heavily relied upon by us or our counterparties may not be maintained and updated appropriately due to resource restraints, or other factors, which could cause technology failures or give rise to additional operational or security risks.",risk_or_competition_reference,"Language mentions AI mainly through risk, competition, dependency, or adoption uncertainty.",Speculative,Actionable,Irrelevant,"This is a risk statement about potential generative AI reliance, not an independent present-use disclosure.",boundary_review_pack_v1
19,heldout,heldout_model_as_error,high,"Our research and development of such technology remains ongoing, and we may begin to use AI in other areas in our business operations.",future_intent_or_expectation,"Language hinges on intend, expect, may, will continue, plan, or future-oriented improvement.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
20,heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca Cola system's retail customers to enable them to grow their businesses; and digitizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",Speculative,Actionable,Speculative,Carried forward from fixed probe adjudication.,boundary_review_pack_v1
21,heldout,heldout_model_as_error,high,"Therefore, one of our top priorities is to digitalize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca-Cola system s retail customers to enable them to grow their businesses; and digitalizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",current_capability_or_enabled_use,"Language describes AI-enabled tasks, workflows, or operating capabilities as currently available.",Speculative,Actionable,Speculative,"AI appears as part of a digitization priority and operational goal, not as a clean current capability claim.",boundary_review_pack_v1
