row_id,source,case_kind,sentence,reviewed_label,reviewed_rationale,sentence_id,label,split,training_eligible,label_changed,candidate_action,batch_id,batch_row_id,source_cik,source_year
12,heldout,heldout_model_as_error,"As we introduce or acquire new products, as our existing products evolve, or as other companies introduce new products and services, including as part of efforts to develop the metaverse or innovate through the application of new technologies such as artificial intelligence, we may become subject to additional competition.",Irrelevant,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
13,heldout,heldout_model_as_error,"Our customers have asked, and may come to expect, that we use generative AI to develop software for them at comparatively lower costs than software developed by our human delivery personnel.",Speculative,Customer expectations about using generative AI are future-facing and do not assert current deployment.,,,,False,True,benchmark_only,,,,
14,heldout,heldout_model_as_error,"If we are unable or slow to develop, adopt, and deploy generative AI technologies in our business, our competitiveness against our industry peers will suffer.",Irrelevant,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
15,heldout,heldout_model_as_error,"As we plan, develop, and implement changes to our delivery model to balance those services that can only be performed by humans against those that can be performed by generative AI, we may have insufficient or excess delivery personnel than required to meet customer demand.",Speculative,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
16,heldout,heldout_model_as_error,"Our estimates of Family metrics also may change as our methodologies evolve, including through the application of new data signals or technologies, product changes, or other improvements in our user surveys, algorithms, or machine learning that may improve our ability to match accounts within and across our products or otherwise evaluate the broad population of our users.",Speculative,"The sentence says methodologies may evolve through machine learning, which is future-oriented rather than a clear current AI-use claim.",,,,False,True,benchmark_only,,,,
17,heldout,heldout_model_as_error,"In particular, we expect our AI initiatives will require increased investment in infrastructure and headcount.",Speculative,Expected future investment requirements for AI initiatives are not current capability disclosures.,,,,False,True,benchmark_only,,,,
18,heldout,heldout_model_as_error,"Custom or new technology (including potential generative artificial intelligence) that is heavily relied upon by us or our counterparties may not be maintained and updated appropriately due to resource restraints, or other factors, which could cause technology failures or give rise to additional operational or security risks.",Irrelevant,"This is a risk statement about potential generative AI reliance, not an independent present-use disclosure.",,,,False,True,benchmark_only,,,,
19,heldout,heldout_model_as_error,"Our research and development of such technology remains ongoing, and we may begin to use AI in other areas in our business operations.",Speculative,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
20,heldout,heldout_model_as_error,"Therefore, one of our top priorities is to digitize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca Cola system's retail customers to enable them to grow their businesses; and digitizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",Speculative,Carried forward from fixed probe adjudication.,,,,False,True,benchmark_only,,,,
21,heldout,heldout_model_as_error,"Therefore, one of our top priorities is to digitalize the Coca-Cola system by, among other things, creating more relevant and more personalized experiences wherever our system interacts with consumers, whether in a digital environment or through digital devices in an otherwise physical environment; finding ways to create more powerful digital tools and capabilities for the Coca-Cola system s retail customers to enable them to grow their businesses; and digitalizing operations through the use of data, artificial intelligence, automation, robotics and digital devices to increase efficiency and productivity.",Speculative,"AI appears as part of a digitization priority and operational goal, not as a clean current capability claim.",,,,False,True,benchmark_only,,,,
