irr_item_id,sample_id,batch_row_id,sentence_id,sentence,source_cik,source_year,source_form,source_file,sentence_index,ff12_code,ff12_name,label,rater1_label,rater2_label,rater2_note
396f8e326cdb60aa,76e8fb7950b162a1,76e8fb7950b162a1,816a6659cda5c994,"We may not be able to sufficiently mitigate or detect any of the foregoing limitations or risks given the lack of experience with using AI/ML methods in our business, the pace of technological change, and rapid adoption of AI/ML by our business partners and competitors.",1026214,2024,10-K,2024/QTR1/20240214_10-K_edgar_data_1026214_0001026214-24-000025.txt,12,11,Money,Irrelevant,Irrelevant,,
b7ab56f4c58361b6,018d846d170a631b,018d846d170a631b,26c16e94dab6c75e,"Our high-performance enterprise class SSD include high-performance flash-based SSD and software solutions that are optimized for performance applications providing a range of capacity and performance levels primarily for use in enterprise servers and supporting high-volume online transactions, AI-related workloads, data analysis and other enterprise applications.",106040,2024,10-K,2024/QTR3/20240820_10-K_edgar_data_106040_0000106040-24-000031.txt,2,12,Other,Actionable,Actionable,,
2333b8bbae8df8f4,0250c1e22accd397,0250c1e22accd397,0aa31ee48081a32b,"He has strong expertise in cyber security, AI, modeling and simulation and has chaired sessions at symposiums on these subjects.",1051343,2024,10-K,2024/QTR2/20240408_10-K_edgar_data_1051343_0001140361-24-018439.txt,1,12,Other,Actionable,Actionable,,
9879400a69df3c21,0c6b5ba6e134138a,0c6b5ba6e134138a,0c2ae121eed3686e,"We specifically focus on members with anxiety, depression and/or substance use disorder(s) by using AI and predictive modeling, applying claims-based analytics to identify health plan members with medical costs that may be impacted through behavioral health treatment with the Ontrak program.",1136174,2024,10-K,2024/QTR2/20240416_10-K_edgar_data_1136174_0001628280-24-016456.txt,7,12,Other,Actionable,Actionable,,
fde8f4c41b83aa24,25aa0f87cec55786,25aa0f87cec55786,8d76ffcb1fcb0089,"Oracle MySQL HeatWave combines transactions, real-time analytics, machine learning and generative AI in one managed cloud service.",1341439,2024,10-K,2024/QTR2/20240620_10-K_edgar_data_1341439_0000950170-24-075605.txt,11,12,Other,Actionable,Actionable,,
03244cce664f3d58,2618b1de4b18db6e,2618b1de4b18db6e,0a7c4c666c3ed073,"Utilizing massively parallel cluster computing and machine learning algorithms and technology, our data intelligence solutions make available actionable data for marketers, researchers and application publishers through an automated platform.",1084267,2024,10-K,2024/QTR2/20240408_10-K_edgar_data_1084267_0001683168-24-002214.txt,3,12,Other,Actionable,Actionable,,
23d0793b675b46d4,27d9ec984ad26309,27d9ec984ad26309,98b93a883f49b792,"Our extensive historical experience in developing high speed synchronous static random access memory, or SRAM, facilitated our ability to transform the focus of our business to the development of reliable hardware AI products and solutions.",1126741,2024,10-K,2024/QTR2/20240613_10-K_edgar_data_1126741_0001558370-24-009139.txt,3,12,Other,Actionable,Actionable,,
9b023196150b2438,2a54c025562c6063,2a54c025562c6063,d5a9265796043ac6,"We currently offer software products for pharmaceutical research, development, and commercialization, as follows: Three simulation products that provide time-dependent results based on solving large sets of mechanistic differential equations: GastroPlus DDDPlus MembranePlus Two products that predict and analyze static properties of chemicals utilizing both AI and machine-learning technologies: ADMET Predictor MedChem Designer Seven products that are based on mechanistic, mathematical models and differential equations: DILIsym NAFLDsym ILDsym IPFsym RENAsym MITOsym OBESITYsym One product designed for modeling and simulation that allows for population analyses, rapid clinical trial data analyses, and regulatory submissions: MonolixSuite (the combination of Monolix , PKanalix , and Simulx).",1023459,2024,10-K,2024/QTR4/20241030_10-K_edgar_data_1023459_0001023459-24-000136.txt,2,12,Other,Actionable,Actionable,,
3effd0cb1f4c9d22,310ebe4598bfb1ab,310ebe4598bfb1ab,a7b11ce267da0853,"Our principal solutions, available individually or through our DAAP, can be summarized as follows: Audience Development AI-generated dynamic audience creation using predictive analytics via machine learning methods applied to real-world data (RWD) to assist healthcare providers (HCPs) in identifying patients who may be qualified for specific therapies, raise awareness of patient access pathways, and identify early indicators of non-adherence among patient populations.",1448431,2024,10-K,2024/QTR2/20240415_10-K_edgar_data_1448431_0001213900-24-033000.txt,3,12,Other,Actionable,Actionable,,
0ffbdd4b116d9e2e,35bdeb42942c6dfb,35bdeb42942c6dfb,fe0eecd611ca6f0b,"We are continuing our research and development partnership with Argonne National Laboratory and utilizing their high performance computing with AI technology and are optimizing higher hydrogen blend configurations, with the goal of creating a 100 hydrogen microturbine.",1009759,2024,10-K,2024/QTR2/20240613_10-K_edgar_data_1009759_0001558370-24-009109.txt,1,12,Other,Actionable,Actionable,,
