cik,name,name_clean,ticker,gvkey,sic,name_source
0000001750,AAR CORP,aar,AIR,1004,5080.0,crosswalk
0000002098,ACME UNITED CORP,acme united,ACU,1104,3842.0,crosswalk
0000002186,BK TECHNOLOGIES CORP,bk technologies,RWC,1117,3663.0,crosswalk
0000002488,ADVANCED MICRO DEVICES,advanced micro devices,AMD,1161,3674.0,crosswalk
0000002969,AIR PRODUCTS & CHEMICALS INC,air products chemicals,APD,1209,2810.0,crosswalk
0000003146,SPIRE ALABAMA INC,spire alabama,,1224,4924.0,crosswalk
0000003153,ALABAMA POWER CO,alabama power,ALPPRN,1225,4911.0,crosswalk
0000003197,CECO ENVIRONMENTAL CORP,ceco environmental,CECE,1050,3564.0,crosswalk
0000003453,MATSON INC,matson,MATX,1254,4400.0,crosswalk
0000003499,ALEXANDER'S INC,alexanders,ALX,1257,6798.0,crosswalk
0000003545,ALICO INC,alico,ALCO,1266,100.0,crosswalk
0000004127,SKYWORKS SOLUTIONS INC,skyworks solutions,SWKS,1327,3674.0,crosswalk
0000004281,HOWMET AEROSPACE INC,howmet aerospace,AA,28192,3728.0,crosswalk
0000004447,HESS CORP,hess,HES,1380,1311.0,crosswalk
0000004457,U-HAUL HOLDING CO,uhaul,UHAL,1393,7510.0,crosswalk
0000004515,AMERICAN AIRLINES INC,american airlines,,1388,4512.0,crosswalk
0000004904,AMERICAN ELECTRIC POWER CO,american electric power,AEP,1440,4911.0,crosswalk
0000004962,AMERICAN EXPRESS CO,american express,AXP,1447,6141.0,crosswalk
0000004977,AFLAC INC,aflac,AFL,1449,6321.0,crosswalk
0000005272,AMERICAN INTERNATIONAL GROUP,american international,AIG,1487,6331.0,crosswalk
0000005513,UNUM GROUP,unum,UNM,12726,6321.0,crosswalk
0000005981,AMERICAN VANGUARD CORP,american vanguard,AVD,1585,2870.0,crosswalk
0000006201,AMERICAN AIRLINES GROUP INC,american airlines,AAL,1045,4512.0,crosswalk
0000006281,ANALOG DEVICES INC,analog devices,ADI,1632,3674.0,crosswalk
0000006494,ANDREA ELECTRONICS CORP,andrea electronics,,1650,3663.0,crosswalk
0000006732,NAC GLOBAL TECHNOLOGIES INC,nac global technologies,,27897,3560.0,crosswalk
0000006879,APPALACHIAN POWER,appalachian power,,1689,4911.0,crosswalk
0000006951,APPLIED MATERIALS INC,applied materials,AMAT,1704,3559.0,crosswalk
0000006955,ENERPAC TOOL GROUP CORP,enerpac tool,ATU,1706,3533.0,crosswalk
0000007084,ARCHER-DANIELS-MIDLAND CO,archerdanielsmidland,ADM,1722,2070.0,crosswalk
0000007286,ARIZONA PUBLIC SERVICE CO,arizona public service,,1742,4911.0,crosswalk
0000007323,ENTERGY ARKANSAS,entergy arkansas,,1745,4911.0,crosswalk
0000007431,ARMSTRONG WORLD INDUSTRIES,armstrong world industries,AWI,175689,3290.0,crosswalk
0000007536,ARROW ELECTRONICS INC,arrow electronics,ARW,1773,5065.0,crosswalk
0000007789,ASSOCIATED BANC-CORP,associated banccorp,ASBC,11842,6020.0,crosswalk
0000008063,ASTRONICS CORP,astronics,ATRO,1823,3640.0,crosswalk
0000008192,ATLANTIC CITY ELECTRIC CO,atlantic city electric,,14437,4911.0,crosswalk
0000008504,AGEAGLE AERIAL SYSTEMS,ageagle aerial systems,EJXR,27339,3721.0,crosswalk
0000008670,AUTOMATIC DATA PROCESSING,automatic data processing,ADP,1891,7374.0,crosswalk
0000008818,AVERY DENNISON CORP,avery dennison,AVY,1913,2670.0,crosswalk
0000008858,AVNET INC,avnet,AVT,1919,5065.0,crosswalk
0000008868,AVON PRODUCTS,avon products,,1920,2844.0,crosswalk
0000009092,BADGER METER INC,badger meter,BMI,1968,3824.0,crosswalk
0000009326,BALCHEM CORP  -CL B,balchem corp cl b,BCPC,1979,2860.0,crosswalk
0000009466,BALTIMORE GAS & ELECTRIC CO,baltimore gas electric,,144580,4911.0,crosswalk
0000010456,BAXTER INTERNATIONAL INC,baxter international,BAX,2086,3841.0,crosswalk
0000010795,BECTON DICKINSON & CO,becton dickinson,BDX,2111,3841.0,crosswalk
0000011544,BERKLEY (W R) CORP,berkley w r,BER,14822,6331.0,crosswalk
0000012208,BIO-RAD LABORATORIES INC,biorad laboratories,BIO,2220,3826.0,crosswalk
0000012239,DOMINARI HOLDINGS INC,dominari,SPEX,18738,6282.0,crosswalk
0000012659,BLOCK H & R INC,block h r,HRB,2269,7200.0,crosswalk
0000012927,BOEING CO,boeing,BA,2285,3721.0,crosswalk
0000013372,NSTAR ELECTRIC CO,nstar electric,,115567,4911.0,crosswalk
0000014272,BRISTOL-MYERS SQUIBB CO,bristolmyers squibb,BMY,2403,2834.0,crosswalk
0000014693,BROWN FORMAN CORP,brown forman,BFB,2435,2085.0,crosswalk
0000014930,BRUNSWICK CORP,brunswick,BC,2444,3510.0,crosswalk
0000015615,MASTEC INC,mastec,MTZ,2497,1623.0,crosswalk
0000016040,CABOT CORP,cabot,CBT,2593,2890.0,crosswalk
0000016058,CACI INTL INC  -CL A,caci intl inc cl a,CACI,2596,7373.0,crosswalk
0000016160,CAL-MAINE FOODS INC,calmaine foods,CALM,64275,200.0,crosswalk
0000016732,CAMPBELL'S CO (THE),campbells co the,CPB,2663,2030.0,crosswalk
0000016875,CANADIAN PAC KANSAS CITY LTD,canadian pac kansas city,,2698,4011.0,crosswalk
0000016918,CONSTELLATION BRANDS,constellation brands,STZ,2710,2082.0,crosswalk
0000017797,DUKE ENERGY PROGRESS INC,duke energy progress,,144848,4911.0,crosswalk
0000018230,CATERPILLAR INC,caterpillar,CAT,2817,3531.0,crosswalk
0000018349,SYNOVUS FINANCIAL CORP,synovus financial,SNV,13041,6020.0,crosswalk
0000018498,GENESCO INC,genesco,GCO,5109,5661.0,crosswalk
0000018654,AMEREN ILLINOIS CO,ameren illinois,CIP,24868,4931.0,crosswalk
0000018672,CLECO POWER LLC,cleco power,,145268,4911.0,crosswalk
0000018926,LUMEN TECHNOLOGIES INC,lumen technologies,CTL,2884,4813.0,crosswalk
0000019617,JPMORGAN CHASE & CO,jpmorgan chase,JPM,2968,6020.0,crosswalk
0000019745,CHESAPEAKE UTILITIES CORP,chesapeake utilities,CPK,2986,4923.0,crosswalk
0000020212,CHURCHILL DOWNS INC,churchill downs,CHDN,3028,7990.0,crosswalk
0000020286,CINCINNATI FINANCIAL CORP,cincinnati financial,CINF,14824,6331.0,crosswalk
0000020290,DUKE ENERGY OHIO INC,duke energy ohio,,3039,4931.0,crosswalk
0000020520,FRONTIER COMMUNIC PARENT INC,frontier communic parent,FTR,135484,4813.0,crosswalk
0000021076,CLOROX CO/DE,clorox code,CLX,3121,2842.0,crosswalk
0000021175,CNA FINANCIAL CORP,cna financial,CNA,2558,6331.0,crosswalk
0000021344,COCA-COLA CO,cocacola,KO,3144,2086.0,crosswalk
0000021535,COHU INC,cohu,COHU,3158,3825.0,crosswalk
0000021665,COLGATE-PALMOLIVE CO,colgatepalmolive,CL,3170,2844.0,crosswalk
0000022444,COMMERCIAL METALS,commercial metals,CMC,3246,3312.0,crosswalk
0000022606,COMMONWEALTH EDISON CO,commonwealth edison,,31596,4911.0,crosswalk
0000022701,SUNATION ENERGY INC,sunation energy,JCS,41076,3620.0,crosswalk
0000022767,TEXAS NEW MEXICO POWER CO,texas new mexico power,,10502,4911.0,crosswalk
0000023111,COMPUTER TASK GROUP INC,computer task,,3342,7370.0,crosswalk
0000023197,COMTECH TELECOMMUN,comtech telecommun,CMTL,3358,3663.0,crosswalk
0000023217,CONAGRA BRANDS INC,conagra brands,CAG,3362,2000.0,crosswalk
0000023426,CONNECTICUT LIGHT & POWER CO,connecticut light power,CLP,3392,4911.0,crosswalk
0000023632,CONSOLIDATED EDISON CO OF NY,consolidated edison co of ny,,105999,4931.0,crosswalk
0000023795,CTO REALTY GROWTH INC,cto realty growth,CTO,3429,6798.0,crosswalk
0000024090,CITIZENS INC,citizens,CIA,16775,6311.0,crosswalk
0000024545,MOLSON COORS BEVERAGE CO,molson coors beverage,TAP,3505,2082.0,crosswalk
0000024741,CORNING INC,corning,GLW,3532,3357.0,crosswalk
0000025445,CRANE NXT CO,crane nxt,CR,42284,3580.0,crosswalk
